,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
37,Столыпинская_аграрная_реформа,16,37,11.919192,98,125,18,2321.4563,-1719.6124,37,2,10,13851.468991332948
105,Урбанизация,11,105,13.838384,192,192,192,1891.7004,-882.51227,105,3,5,3635.359522386846
189,Аллитерация,17,189,11.919192,0,134,233,-954.6224,-2429.5686,189,2,22,11493.54439536591
193,Литература,39,193,11.919192,236,36,133,870.30786,1706.2705,193,2,3,3099.0
447,Оксид_титана(IV),41,447,11.919192,155,95,153,-2012.9697,-3158.2908,447,2,8,0.0
578,"Хонеккер,_Эрих",30,578,17.676767,227,65,208,-1061.3914,200.45667,578,5,10,42500.52067797921
580,"Бернстайн,_Леонард",9,580,11.919192,150,127,0,2507.4246,626.60876,580,2,13,3099.0
604,День_России,21,604,11.919192,0,136,132,-3413.3333,-645.0188,604,2,12,0.0
758,Кардинал,12,758,15.757576,192,192,192,1090.547,866.6161,758,4,34,10535.814696786085
911,Вычислительная_сеть,14,911,10.0,0,134,82,-2239.245,-98.58005,911,1,7,0.0
1179,"Филозов,_Альберт_Леонидович",16,1179,21.515152,98,125,18,1966.0159,-1545.8068,1179,7,10,131414.5149270299
1420,Путч,14,1420,11.919192,0,134,82,-2158.3938,-174.96922,1420,2,7,9291.0
1671,"Гамзатов,_Расул_Гамзатович",18,1671,10.0,132,111,233,-1150.4856,3264.8357,1671,1,10,0.0
2490,Термодинамика,5,2490,13.838384,192,192,192,3391.974,-1254.4481,2490,3,17,126045.81756938098
2747,"Полтавченко,_Георгий_Сергеевич",18,2747,21.515152,132,111,233,976.37854,2986.544,2747,7,10,33365.952333869594
2768,Коморы,26,2768,11.919192,253,65,0,-1604.0149,-570.27124,2768,2,2,9291.0
2854,Ниуэ,6,2854,15.757576,192,192,192,-1446.3511,1916.7488,2854,4,23,431.1666666666667
3490,"Бирон,_Эрнст_Иоганн",10,3490,10.0,195,78,71,101.96458,-1792.6553,3490,1,9,0.0
3693,Государственные_символы_России,11,3693,15.757576,192,192,192,1451.5343,-1084.6196,3693,4,5,47800.20446685256
3812,Ле_Корбюзье,18,3812,10.0,132,111,233,11.308062,2398.349,3812,1,10,0.0
4557,Роберт_Лэнгдон,4,4557,17.676767,192,192,192,-2423.711,-917.933,4557,5,14,3099.0
4605,Академгородок_(Новосибирск),16,4605,11.919192,98,125,18,1898.862,-1902.0256,4605,2,0,3099.0
4675,Квантовая_теория_поля,19,4675,10.0,192,192,192,2185.7874,-499.59152,4675,1,17,0.0
4734,Стандартная_модель,19,4734,11.919192,192,192,192,2317.013,-743.952,4734,2,17,3099.0
4840,Греческий_язык,19,4840,31.11111,192,192,192,2388.07,-627.08875,4840,12,17,118174.02144475127
5192,Новый_год,16,5192,25.353535,98,125,18,1782.749,-1942.1752,5192,9,10,118787.92356323451
5236,Фундаментальные_взаимодействия,19,5236,13.838384,192,192,192,1991.2928,-845.75073,5236,3,17,9291.0
5380,"Яковлев,_Владимир_Анатольевич",18,5380,19.595959,132,111,233,-601.0754,2953.696,5380,6,10,25283.898030700264
7139,"Савицкая,_Светлана_Евгеньевна",31,7139,13.838384,255,0,77,1103.4734,-876.6875,7139,3,10,123357.31615185404
7885,Закон_Гука,5,7885,10.0,192,192,192,3211.3132,-1284.8254,7885,1,17,0.0
8270,Глюон,19,8270,11.919192,192,192,192,2214.8708,-917.991,8270,2,17,0.0
8556,Флаг,10,8556,23.434343,195,78,71,376.19083,-1535.1302,8556,8,9,77384.71613564955
8724,Блог,2,8724,25.353535,0,127,167,-2950.7048,541.64496,8724,9,5,151680.539004455
8937,"Беринг,_Витус_Ионассен",11,8937,11.919192,192,192,192,1884.4182,-997.31714,8937,2,5,3098.9999999999995
