,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,wID,x,y
0,2.0,37.0,Столыпинская аграрная реформа,16.0,0.9732507467269897,Q2221926,History_and_Society.Society,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
1,2.0,37.0,Столыпинская аграрная реформа,16.0,0.275139719247818,Q2221926,STEM.STEM*,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
2,2.0,37.0,Столыпинская аграрная реформа,16.0,0.1968362182378769,Q2221926,History_and_Society.Military_and_warfare,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
3,2.0,37.0,Столыпинская аграрная реформа,16.0,0.1259327530860901,Q2221926,History_and_Society.Politics_and_government,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
4,2.0,37.0,Столыпинская аграрная реформа,16.0,0.1097157895565033,Q2221926,History_and_Society.History,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
5,2.0,37.0,Столыпинская аграрная реформа,16.0,0.0,Q2221926,Geography.Regions.Asia.North_Asia,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
6,2.0,37.0,Столыпинская аграрная реформа,16.0,0.0,Q2221926,Geography.Regions.Europe.Eastern_Europe,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
7,2.0,37.0,Столыпинская аграрная реформа,16.0,0.0,Q2221926,Geography.Regions.Asia.Asia*,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
8,2.0,37.0,Столыпинская аграрная реформа,16.0,0.0,Q2221926,Geography.Regions.Europe.Europe*,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
9,2.0,37.0,Столыпинская аграрная реформа,16.0,0.0,Q2221926,Geography.Regions.Asia.West_Asia,18.0,13851.46899133295,125.0,10.0,98.0,11.919192,37.0,2321.4563,-1719.6124
10,3.0,105.0,Урбанизация,11.0,0.3629792034626007,Q161078,History_and_Society.Politics_and_government,192.0,3635.3595223868456,192.0,5.0,192.0,13.838384,105.0,1891.7004,-882.51227
11,3.0,105.0,Урбанизация,11.0,0.320831298828125,Q161078,STEM.STEM*,192.0,3635.3595223868456,192.0,5.0,192.0,13.838384,105.0,1891.7004,-882.51227
12,3.0,105.0,Урбанизация,11.0,0.21734751760959625,Q161078,History_and_Society.Society,192.0,3635.3595223868456,192.0,5.0,192.0,13.838384,105.0,1891.7004,-882.51227
13,3.0,105.0,Урбанизация,11.0,0.1520422399044037,Q161078,History_and_Society.Business_and_economics,192.0,3635.3595223868456,192.0,5.0,192.0,13.838384,105.0,1891.7004,-882.51227
14,3.0,105.0,Урбанизация,11.0,0.11280541121959686,Q161078,Culture.Philosophy_and_religion,192.0,3635.3595223868456,192.0,5.0,192.0,13.838384,105.0,1891.7004,-882.51227
15,2.0,189.0,Аллитерация,17.0,0.44553956389427185,Q484495,Culture.Philosophy_and_religion,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
16,2.0,189.0,Аллитерация,17.0,0.19194278120994568,Q484495,STEM.STEM*,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
17,2.0,189.0,Аллитерация,17.0,0.18714269995689392,Q484495,History_and_Society.Society,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
18,2.0,189.0,Аллитерация,17.0,0.16027602553367615,Q484495,Culture.Linguistics,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
19,2.0,189.0,Аллитерация,17.0,0.14415885508060455,Q484495,History_and_Society.Politics_and_government,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
20,2.0,189.0,Аллитерация,17.0,0.1294127255678177,Q484495,Culture.Literature,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
21,2.0,189.0,Аллитерация,17.0,0.11597072333097458,Q484495,History_and_Society.History,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
22,2.0,189.0,Аллитерация,17.0,0.10375863313674927,Q484495,STEM.Medicine_&_Health,233.0,11493.544395365909,134.0,22.0,0.0,11.919192,189.0,-954.6224,-2429.5686
23,2.0,193.0,Литература,39.0,0.2814156115055084,Q8242,Culture.Philosophy_and_religion,133.0,3099.0,36.0,3.0,236.0,11.919192,193.0,870.30786,1706.2705
24,2.0,193.0,Литература,39.0,0.275139719247818,Q8242,History_and_Society.Society,133.0,3099.0,36.0,3.0,236.0,11.919192,193.0,870.30786,1706.2705
25,2.0,193.0,Литература,39.0,0.2568419873714447,Q8242,STEM.STEM*,133.0,3099.0,36.0,3.0,236.0,11.919192,193.0,870.30786,1706.2705
26,2.0,193.0,Литература,39.0,0.22816647589206696,Q8242,History_and_Society.Politics_and_government,133.0,3099.0,36.0,3.0,236.0,11.919192,193.0,870.30786,1706.2705
27,2.0,193.0,Литература,39.0,0.10375863313674927,Q8242,History_and_Society.History,133.0,3099.0,36.0,3.0,236.0,11.919192,193.0,870.30786,1706.2705
