,Main_Topics,Higher_Weighted_Article
0,Sports (0.22) / Society (0.02) / Linguistics (0.0) ,"Маркизио, Клаудио (89511)"
1,Society (0.1) / Sports (0.02) / Politics_and_government (0.04) ,"Чадов, Алексей Александрович (16754)"
2,Sports (0.25) / Society (0.04) / Business_and_economics (0.01) ,Рейтинг сборных ФИФА (26876)
3,Society (0.13) / Literature (0.01) / Performing_arts (0.02) ,"Гоголь, Николай Васильевич (97413)"
4,Sports (0.22) / Society (0.16) / Military_and_warfare (0.04) ,"Ионов, Алексей Сергеевич (16813)"
5,Society (0.09) / Media* (0.06) / Music (0.01) ,Элджей (115276)
6,Politics_and_government (0.06) / Military_and_warfare (0.09) / Philosophy_and_religion (0.01) ,"Маккейн, Джон (50633)"
7,Society (0.1) / Military_and_warfare (0.13) / Technology (0.01) ,"Разумовский, Дмитрий Александрович (Герой России) (7238)"
8,Business_and_economics (0.02) / Military_and_warfare (0.07) / Society (0.08) ,Крымский Титан (57327)
9,Visual_arts* (0.01) / Society (0.1) / Films (0.03) ,"Серов, Валентин Александрович (5706)"
10,Society (0.13) / Media* (0.06) / Military_and_warfare (0.07) ,"Кобзон, Иосиф Давыдович (576886)"
11,History (0.03) / Military_and_warfare (0.08) / Society (0.11) ,"Макарова, Инна Владимировна (9232)"
12,Society (0.1) / Television (0.01) / Media* (0.05) ,Большая игра (телесериал) (18859)
13,Society (0.03) / Films (0.1) / Media* (0.18) ,"Панин, Алексей Вячеславович (22124)"
14,Media* (0.15) / Literature (0.09) / History (0.02) ,"Куарон, Альфонсо (8598)"
15,Transportation (0.08) / Engineering (0.08) / Military_and_warfare (0.11) ,Ту-142 (5587)
16,Media* (0.1) / Music (0.05) / Visual_arts* (0.02) ,"Винник, Олег Анатольевич (17099)"
17,Linguistics (0.01) / Physics (0.05) / Philosophy_and_religion (0.05) ,Греческий язык (7623)
18,Society (0.09) / Military_and_warfare (0.04) / History (0.04) ,"Дежнёв, Семён Иванович (8254)"
19,Business_and_economics (0.02) / Food_and_drink (0.02) / Media* (0.19) ,Red Bull GmbH (2439)
20,Media* (0.03) / Films (0.03) / Television (0.03) ,"Мираж (фильм, 1983) (1926)"
21,Society (0.14) / Literature (0.01) / Media* (0.04) ,"Лимонов, Эдуард Вениаминович (56605)"
22,Media* (0.09) / Television (0.01) / Entertainment (0.03) ,Теория Большого взрыва (телесериал) (22885)
23,Military_and_warfare (0.05) / Society (0.08) / History (0.01) ,"Крузенштерн, Иван Фёдорович (4917)"
24,Sports (0.25) / Society (0.03) / Architecture (0.01) ,"Феттель, Себастьян (4171)"
25,Politics_and_government (0.11) / Society (0.07) / Military_and_warfare (0.06) ,"Аннан, Кофи (3750)"
26,Performing_arts (0.01) / Society (0.12) / Military_and_warfare (0.11) ,Гроза (пьеса) (14135)
27,Society (0.08) / Politics_and_government (0.03) / Media* (0.0) ,"Саймс, Дмитрий (11062)"
28,Society (0.12) / Media* (0.07) / Military_and_warfare (0.09) ,"Ланская, Валерия Александровна (8198)"
29,Transportation (0.04) / Military_and_warfare (0.05) / History (0.05) ,Титаник (30189)
30,Transportation (0.31) / Society (0.29) / Politics_and_government (0.01) ,Некрасовская линия (8516)
31,Engineering (0.06) / Transportation (0.07) / Society (0.12) ,Ту-204 (9832)
32,Society (0.01) / Philosophy_and_religion (0.02) / Literature (0.24) ,"Равикович, Анатолий Юрьевич (2735)"
33,Society (0.07) / Philosophy_and_religion (0.15) / History (0.05) ,Религия в России (4850)
34,Philosophy_and_religion (0.17) / Military_and_warfare (0.03) / Politics_and_government (0.03) ,Грузинская православная церковь (4938)
35,Media* (0.2) / Films (0.06) / Literature (0.09) ,Сумерки. Сага. Новолуние (3526)
36,Media* (0.19) / Films (0.13) / Literature (0.07) ,"Девушка с татуировкой дракона (фильм, 2009) (2625)"
37,Philosophy_and_religion (0.08) / Society (0.06) / History (0.06) ,Нахман из Брацлава (14314)
38,Media* (0.19) / Music (0.14) / Society (0.04) ,Эминем (75519)
39,Medicine_&_Health (0.12) / Society (0.18) / Biology (0.15) ,Сахарный диабет (27629)
40,Media* (0.12) / Music (0.04) / Society (0.05) ,"Хворостовский, Дмитрий Александрович (13314)"
