,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,3.0,48.0,Лавра,0.3998216390609741,Q824786,Culture.Philosophy_and_religion,494.4368505238261,2.0,2993.0,1.1994649171829224,Culture,Philosophy_and_religion
1,16.0,173.0,Охрана окружающей среды,0.9748311638832092,Q832237,History_and_Society.Society,71334.53458182505,6.0,2875.0,15.597298622131348,History_and_Society,Society
2,9.0,191.0,Страна,0.287777841091156,Q6256,History_and_Society.Politics_and_government,25416.913364053507,0.0,5813.0,2.590000569820404,History_and_Society,Politics_and_government
3,6.0,372.0,Древнеегипетская религия,0.9496793746948242,Q447131,History_and_Society.History,4787.431784546913,18.0,4110.0,5.698076248168945,History_and_Society,History
4,2.0,475.0,Авеста,0.9926641583442688,Q83426,Culture.Philosophy_and_religion,0.0,5.0,3755.0,1.9853283166885376,Culture,Philosophy_and_religion
5,4.0,611.0,Аввакум Петров,0.9924327731132508,Q318473,Culture.Biography.Biography*,21953.515162218548,2.0,3289.0,3.9697310924530034,Culture,Biography*
6,1.0,690.0,Хронологическая таблица,1.0000100135803225,Q27305,History_and_Society.History,0.0,5.0,3451.0,1.0000100135803225,History_and_Society,History
7,3.0,849.0,Белорусский алфавит,0.7931159734725952,Q792216,Culture.Linguistics,4244.786987067017,10.0,2895.0,2.3793479204177856,Culture,Linguistics
8,9.0,893.0,Классическая механика,0.9416641592979432,Q11397,STEM.Physics,9490.003553000482,5.0,3180.0,8.47497743368149,STEM,Physics
9,8.0,909.0,Модем,0.7186043858528137,Q5607,STEM.Technology,46224.26499532942,7.0,3392.0,5.74883508682251,STEM,Technology
10,11.0,1052.0,Картография,0.15611489117145538,Q42515,STEM.Earth_and_environment,16086.182091285054,6.0,3319.0,1.7172638028860092,STEM,Earth_and_environment
11,3.0,1090.0,Тегеран-43,0.9637899398803712,Q1125687,Culture.Media.Films,2602.0,2.0,3966.0,2.8913698196411137,Culture,Films
12,1.0,1182.0,"Стриженов, Глеб Александрович",0.9939124584197998,Q4443978,Culture.Biography.Biography*,0.0,2.0,2517.0,0.9939124584197998,Culture,Biography*
13,16.0,1204.0,Философ,0.6791887283325195,Q4964182,History_and_Society.Business_and_economics,81651.33438320115,5.0,5853.0,10.867019653320312,History_and_Society,Business_and_economics
14,11.0,1219.0,Анаксимандр,0.9886782765388488,Q42458,Culture.Biography.Biography*,32292.676137781007,5.0,3195.0,10.875461041927336,Culture,Biography*
15,4.0,1227.0,Парменид,0.993317186832428,Q125551,Culture.Philosophy_and_religion,0.0,5.0,2823.0,3.973268747329712,Culture,Philosophy_and_religion
16,8.0,1402.0,Музей,0.6442351341247559,Q33506,Culture.Visual_arts.Architecture,66172.12999622272,4.0,3206.0,5.153881072998047,Culture,Architecture
17,3.0,1454.0,Астролябия,0.10088862478733064,Q164992,STEM.Technology,5171.168623318857,5.0,3478.0,0.30266587436199194,STEM,Technology
18,3.0,1644.0,"Чирков, Борис Петрович",0.9969346523284912,Q584450,Culture.Biography.Biography*,31712.763204662653,10.0,3172.0,2.9908039569854736,Culture,Biography*
19,4.0,1754.0,Мокошь,0.812877357006073,Q817358,Culture.Philosophy_and_religion,14386.994554110965,10.0,3351.0,3.251509428024292,Culture,Philosophy_and_religion
20,7.0,2583.0,Линейная алгебра,0.233716368675232,Q82571,Culture.Philosophy_and_religion,4338.995916379135,6.0,3555.0,1.636014580726624,Culture,Philosophy_and_religion
21,3.0,2768.0,Коморы,0.9481645226478576,Q970,Geography.Geographical,10399.0,2.0,2339.0,2.8444935679435726,Geography,Geographical
22,12.0,2879.0,Древнегреческая философия,0.7431780099868774,Q999259,Culture.Philosophy_and_religion,48173.074615222606,5.0,3534.0,8.91813611984253,Culture,Philosophy_and_religion
23,13.0,2968.0,Натурфилософия,0.6584275364875793,Q269323,Culture.Philosophy_and_religion,24963.82622042729,5.0,3096.0,8.559557974338531,Culture,Philosophy_and_religion
24,10.0,3042.0,Плутарх,0.9980222582817078,Q41523,Culture.Biography.Biography*,41348.26420310623,5.0,3372.0,9.980222582817078,Culture,Biography*
25,6.0,3074.0,Теофраст,0.997758150100708,Q160362,Culture.Biography.Biography*,15193.495263393586,5.0,3808.0,5.986548900604248,Culture,Biography*
26,2.0,3078.0,Хрисипп,0.9919480085372924,Q211411,Culture.Philosophy_and_religion,30.38244077729855,5.0,1781.0,1.9838960170745847,Culture,Philosophy_and_religion
27,3.0,3132.0,Гипатия,0.9961855411529541,Q11903,Culture.Biography.Biography*,5203.0,6.0,2746.0,2.9885566234588623,Culture,Biography*
28,9.0,3149.0,Освоение космоса,0.5234303474426271,Q180046,STEM.Space,28322.417100671933,9.0,3123.0,4.7108731269836435,STEM,Space
29,8.0,3341.0,Вселенские соборы,0.9850529432296752,Q51645,Culture.Philosophy_and_religion,10149.661020230897,2.0,4106.0,7.8804235458374015,Culture,Philosophy_and_religion
30,7.0,3373.0,География США,0.23616819286346435,Q272160,Geography.Regions.Americas.North_America,21192.489304399598,6.0,2830.0,1.6531773500442504,Geography,North_America
31,5.0,3689.0,Суперкомпьютер,0.538993239402771,Q121117,STEM.Computing,13605.366324798908,7.0,4616.0,2.694966197013855,STEM,Computing
32,9.0,3741.0,Речь,0.13297423720359802,Q52946,STEM.Technology,32971.423975865684,13.0,7631.0,1.1967681348323822,STEM,Technology
33,11.0,3883.0,Компьютерная память,0.8354935646057129,Q66221,STEM.Computing,11334.292697994544,7.0,3127.0,9.190429210662842,STEM,Computing
34,3.0,4036.0,Западно-Сибирская равнина,0.7879412174224854,Q191566,History_and_Society.Society,1362.880342378411,6.0,5009.0,2.363823652267456,History_and_Society,Society
35,5.0,4425.0,Море Лаптевых,0.7718535065650941,Q7988,History_and_Society.Society,4129.981459357357,18.0,3541.0,3.8592675328254704,History_and_Society,Society
36,5.0,4428.0,Чукотское море,0.9019306898117064,Q159252,Geography.Geographical,3583.197554938255,18.0,2292.0,4.509653449058532,Geography,Geographical
37,5.0,4438.0,Берингово море,0.839743971824646,Q44725,Geography.Geographical,9605.08758099932,18.0,3651.0,4.19871985912323,Geography,Geographical
38,9.0,4456.0,Японское море,0.9219318628311156,Q27092,Geography.Geographical,32067.411677819626,10.0,3537.0,8.29738676548004,Geography,Geographical
39,5.0,4496.0,Бейсик,0.6584275364875793,Q42979,STEM.Computing,7977.100053061726,6.0,3257.0,3.2921376824378967,STEM,Computing
40,4.0,4500.0,Ада (язык программирования),0.8903042674064636,Q154755,STEM.Computing,2116.230289339465,6.0,2547.0,3.5612170696258545,STEM,Computing
41,3.0,4679.0,Конфликт,0.5078218579292297,Q180684,History_and_Society.Politics_and_government,2769.011506850549,0.0,2945.0,1.5234655737876892,History_and_Society,Politics_and_government
42,3.0,4727.0,"Флоренский, Павел Александрович",0.9935217499732972,Q336769,Culture.Biography.Biography*,4891.774591965809,5.0,2169.0,2.980565249919892,Culture,Biography*
43,10.0,5236.0,Фундаментальные взаимодействия,0.6076731681823729,Q104934,STEM.Physics,16416.653144733165,5.0,3273.0,6.07673168182373,STEM,Physics
44,1.0,6037.0,"Опарин, Александр Иванович",0.9960646033287048,Q44483,Culture.Biography.Biography*,0.0,1.0,2876.0,0.9960646033287048,Culture,Biography*
