,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views
0,3.0,48.0,Лавра,0.3998216390609741,Q824786,Culture.Philosophy_and_religion,494.43685052382614,2.0,2993.0
1,3.0,48.0,Лавра,0.23371636867523196,Q824786,STEM.STEM*,494.43685052382614,2.0,2993.0
2,3.0,48.0,Лавра,0.1732981950044632,Q824786,Culture.Visual_arts.Visual_arts*,494.43685052382614,2.0,2993.0
3,3.0,48.0,Лавра,0.14805719256401062,Q824786,History_and_Society.Society,494.43685052382614,2.0,2993.0
4,3.0,48.0,Лавра,0.13661839067935946,Q824786,STEM.Biology,494.43685052382614,2.0,2993.0
5,3.0,48.0,Лавра,0.13661839067935946,Q824786,Culture.Visual_arts.Architecture,494.43685052382614,2.0,2993.0
6,3.0,48.0,Лавра,0.1259327530860901,Q824786,Culture.Sports,494.43685052382614,2.0,2993.0
7,3.0,48.0,Лавра,0.12253321707248688,Q824786,Culture.Media.Media*,494.43685052382614,2.0,2993.0
8,3.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Europe.Europe*,494.43685052382614,2.0,2993.0
9,3.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Asia.Asia*,494.43685052382614,2.0,2993.0
10,16.0,173.0,Охрана окружающей среды,0.9748311638832092,Q832237,History_and_Society.Society,71334.53458182505,6.0,2875.0
11,16.0,173.0,Охрана окружающей среды,0.8080772161483765,Q832237,STEM.Earth_and_environment,71334.53458182505,6.0,2875.0
12,16.0,173.0,Охрана окружающей среды,0.6723417043685913,Q832237,History_and_Society.Politics_and_government,71334.53458182505,6.0,2875.0
13,16.0,173.0,Охрана окружающей среды,0.59267657995224,Q832237,STEM.STEM*,71334.53458182505,6.0,2875.0
14,16.0,173.0,Охрана окружающей среды,0.3140605390071869,Q832237,History_and_Society.History,71334.53458182505,6.0,2875.0
15,16.0,173.0,Охрана окружающей среды,0.19194278120994568,Q832237,STEM.Biology,71334.53458182505,6.0,2875.0
16,9.0,191.0,Страна,0.287777841091156,Q6256,History_and_Society.Politics_and_government,25416.913364053507,0.0,5813.0
17,9.0,191.0,Страна,0.16442059183120727,Q6256,Geography.Geographical,25416.913364053507,0.0,5813.0
18,6.0,372.0,Древнеегипетская религия,0.9496793746948242,Q447131,History_and_Society.History,4787.431784546913,18.0,4110.0
19,6.0,372.0,Древнеегипетская религия,0.6224693655967712,Q447131,Culture.Philosophy_and_religion,4787.431784546913,18.0,4110.0
20,6.0,372.0,Древнеегипетская религия,0.23371636867523196,Q447131,STEM.STEM*,4787.431784546913,18.0,4110.0
21,6.0,372.0,Древнеегипетская религия,0.20182321965694427,Q447131,Culture.Literature,4787.431784546913,18.0,4110.0
22,6.0,372.0,Древнеегипетская религия,0.19194278120994568,Q447131,History_and_Society.Society,4787.431784546913,18.0,4110.0
23,6.0,372.0,Древнеегипетская религия,0.1067005917429924,Q447131,History_and_Society.Politics_and_government,4787.431784546913,18.0,4110.0
24,6.0,372.0,Древнеегипетская религия,0.0,Q447131,Geography.Regions.Africa.Africa*,4787.431784546913,18.0,4110.0
25,2.0,475.0,Авеста,0.9926641583442688,Q83426,Culture.Philosophy_and_religion,0.0,5.0,3755.0
26,2.0,475.0,Авеста,0.538993239402771,Q83426,Culture.Literature,0.0,5.0,3755.0
27,2.0,475.0,Авеста,0.2568419873714447,Q83426,History_and_Society.History,0.0,5.0,3755.0
28,2.0,475.0,Авеста,0.12253321707248688,Q83426,History_and_Society.Society,0.0,5.0,3755.0
29,2.0,475.0,Авеста,0.0,Q83426,Geography.Regions.Asia.Asia*,0.0,5.0,3755.0
30,2.0,475.0,Авеста,0.0,Q83426,Geography.Regions.Asia.West_Asia,0.0,5.0,3755.0
31,4.0,611.0,Аввакум Петров,0.9924327731132508,Q318473,Culture.Biography.Biography*,21953.515162218548,2.0,3289.0
32,4.0,611.0,Аввакум Петров,0.839743971824646,Q318473,History_and_Society.Society,21953.515162218548,2.0,3289.0
33,4.0,611.0,Аввакум Петров,0.5621865391731262,Q318473,Culture.Philosophy_and_religion,21953.515162218548,2.0,3289.0
34,4.0,611.0,Аввакум Петров,0.3557848632335663,Q318473,History_and_Society.History,21953.515162218548,2.0,3289.0
35,4.0,611.0,Аввакум Петров,0.16886694729328156,Q318473,History_and_Society.Military_and_warfare,21953.515162218548,2.0,3289.0
