modularity_class,Count,Ratio,Subtopic
0,25,28.4,Society
0,18,20.5,Media*
0,17,19.3,Military_and_warfare
0,9,10.2,Films
0,5,5.7,Transportation
0,4,4.5,History
0,4,4.5,Literature
0,2,2.3,Performing_arts
0,1,1.1,Biology
0,1,1.1,Politics_and_government
0,1,1.1,Video_games
0,1,1.1,Visual_arts*
1,27,31.4,Literature
1,24,27.9,Media*
1,23,26.7,Films
1,4,4.7,Society
1,2,2.3,Music
1,2,2.3,Performing_arts
1,1,1.2,Internet_culture
1,1,1.2,Philosophy_and_religion
1,1,1.2,Physics
1,1,1.2,Technology
2,123,82.6,Sports
2,22,14.8,Society
2,1,0.7,Linguistics
2,1,0.7,Military_and_warfare
2,1,0.7,Politics_and_government
2,1,0.7,Transportation
3,60,76.9,Society
3,6,7.7,Politics_and_government
3,3,3.8,Media*
3,2,2.6,Technology
3,1,1.3,Business_and_economics
3,1,1.3,Earth_and_environment
3,1,1.3,Internet_culture
3,1,1.3,Military_and_warfare
3,1,1.3,Philosophy_and_religion
3,1,1.3,STEM*
3,1,1.3,Sports
4,26,40.0,Society
4,16,24.6,Media*
4,7,10.8,Films
4,3,4.6,Literature
4,3,4.6,Military_and_warfare
4,3,4.6,Philosophy_and_religion
4,1,1.5,Europe*
4,1,1.5,Linguistics
4,1,1.5,Music
4,1,1.5,Performing_arts
4,1,1.5,Politics_and_government
4,1,1.5,STEM*
4,1,1.5,Television
5,41,51.2,Society
5,9,11.2,Media*
5,6,7.5,Military_and_warfare
5,5,6.2,Films
5,4,5.0,Literature
5,4,5.0,Visual_arts*
5,3,3.8,Sports
5,2,2.5,Medicine_&_Health
5,1,1.2,Business_and_economics
5,1,1.2,Performing_arts
5,1,1.2,Politics_and_government
5,1,1.2,STEM*
5,1,1.2,Space
5,1,1.2,Television
6,22,31.4,Society
6,8,11.4,Physics
6,6,8.6,Politics_and_government
6,6,8.6,Media*
6,5,7.1,Military_and_warfare
6,3,4.3,Literature
6,3,4.3,Biology
6,3,4.3,History
6,3,4.3,Chemistry
6,2,2.9,Medicine_&_Health
6,2,2.9,Business_and_economics
6,1,1.4,List_Disambig
6,1,1.4,Philosophy_and_religion
6,1,1.4,Films
6,1,1.4,STEM*
6,1,1.4,Space
6,1,1.4,Transportation
6,1,1.4,Visual_arts*
7,46,46.0,Philosophy_and_religion
7,24,24.0,Society
7,7,7.0,History
7,5,5.0,STEM*
7,4,4.0,Transportation
7,3,3.0,Linguistics
7,2,2.0,Architecture
7,2,2.0,Computing
7,2,2.0,Military_and_warfare
7,1,1.0,Eastern_Europe
7,1,1.0,Europe*
7,1,1.0,Fashion
7,1,1.0,Politics_and_government
7,1,1.0,Technology
8,33,37.5,Space
8,20,22.7,Transportation
8,10,11.4,Technology
8,8,9.1,Military_and_warfare
8,8,9.1,Society
8,3,3.4,STEM*
8,2,2.3,Philosophy_and_religion
8,1,1.1,Business_and_economics
8,1,1.1,Chemistry
8,1,1.1,Engineering
8,1,1.1,Politics_and_government
9,11,42.3,Society
9,5,19.2,Visual_arts*
9,3,11.5,Biology
9,2,7.7,Philosophy_and_religion
9,1,3.8,Business_and_economics
9,1,3.8,Earth_and_environment
9,1,3.8,Media*
9,1,3.8,Medicine_&_Health
9,1,3.8,Space
10,9,21.4,Literature
10,6,14.3,Europe*
10,6,14.3,Media*
10,5,11.9,Society
10,3,7.1,Films
10,2,4.8,Military_and_warfare
10,2,4.8,Philosophy_and_religion
10,2,4.8,STEM*
10,1,2.4,Books
10,1,2.4,Eastern_Europe
10,1,2.4,Engineering
10,1,2.4,History
10,1,2.4,Politics_and_government
10,1,2.4,Sports
10,1,2.4,Transportation
11,126,80.3,Sports
11,5,3.2,Media*
11,5,3.2,Society
11,4,2.5,STEM*
11,2,1.3,Business_and_economics
11,2,1.3,Television
11,2,1.3,History
11,2,1.3,Linguistics
11,1,0.6,Performing_arts
11,1,0.6,Politics_and_government
11,1,0.6,Military_and_warfare
11,1,0.6,North_America
11,1,0.6,Entertainment
11,1,0.6,Medicine_&_Health
11,1,0.6,Geographical
11,1,0.6,Films
11,1,0.6,Transportation
12,9,32.1,Media*
12,5,17.9,Films
12,4,14.3,History
12,3,10.7,Literature
12,3,10.7,Military_and_warfare
12,1,3.6,Europe*
12,1,3.6,Philosophy_and_religion
12,1,3.6,Politics_and_government
12,1,3.6,Society
13,15,55.6,Media*
13,7,25.9,Films
13,2,7.4,Society
13,1,3.7,Literature
13,1,3.7,Transportation
13,1,3.7,Visual_arts*
14,35,36.5,Society
14,19,19.8,Military_and_warfare
14,15,15.6,Media*
14,6,6.2,Films
14,5,5.2,Politics_and_government
14,4,4.2,STEM*
14,3,3.1,Physics
14,2,2.1,Linguistics
14,1,1.0,Europe*
14,1,1.0,History
14,1,1.0,Literature
14,1,1.0,Music
14,1,1.0,Sports
14,1,1.0,Television
14,1,1.0,Visual_arts*
15,23,34.8,Music
15,14,21.2,Society
15,12,18.2,Media*
15,8,12.1,Politics_and_government
15,3,4.5,Military_and_warfare
15,2,3.0,Films
15,1,1.5,Business_and_economics
15,1,1.5,Performing_arts
15,1,1.5,Sports
15,1,1.5,Western_Europe
16,14,56.0,Society
16,3,12.0,Sports
16,2,8.0,Politics_and_government
16,1,4.0,Films
