,Label,Id,Degree,modularity_class,betweenesscentrality
48,Лавра,48,7,7,3652.080231474658
578,"Хонеккер,_Эрих",578,1,7,0.0
580,"Бернстайн,_Леонард",580,1,15,0.0
1090,Тегеран-43,1090,7,15,71798.3628738444
1644,"Чирков,_Борис_Петрович",1644,2,22,1792.0
3786,Корякский_автономный_округ,3786,1,11,0.0
4179,Македония,4179,3,17,0.0
4643,"Леонов,_Алексей_Архипович",4643,2,8,0.0
5380,"Яковлев,_Владимир_Анатольевич",5380,6,3,3582.0
6333,"Крикалёв,_Сергей_Константинович",6333,8,8,13295.912602801793
6393,"Беляев,_Павел_Иванович",6393,2,8,0.0
6499,"Джанибеков,_Владимир_Александрович",6499,8,8,300.68696151406823
6624,"Лазарев,_Василий_Григорьевич",6624,12,8,867.570295835557
6627,"Макаров,_Олег_Григорьевич",6627,10,8,312.67322958368715
7373,"Стрекалов,_Геннадий_Михайлович",7373,10,8,411.9312243554015
7499,"Титов,_Владимир_Георгиевич_(космонавт)",7499,8,8,119.05626222321756
7577,Субботник,7577,1,14,0.0
7674,Космодром,7674,12,8,15349.892213132809
8838,Старица_(город),8838,1,3,0.0
8922,Шансонье,8922,4,15,1792.0
9693,Мумия,9693,6,21,11404.481832315289
9998,РЖД_Арена,9998,2,17,1792.0
10563,Международная_космическая_станция,10563,24,8,36759.67105539825
11107,"Рыбалко,_Павел_Семёнович",11107,1,14,0.0
11963,Энергия_(ракета-носитель),11963,11,8,2.196695379783615
12134,Экраноплан,12134,1,8,0.0
12167,"Климов,_Элем_Германович",12167,3,5,5580.884700898542
13212,SpaceShipOne,13212,3,8,6188.206498703253
13544,Ракета-носитель,13544,28,8,8621.552530689394
13787,"Лукьяненко,_Сергей_Васильевич",13787,11,10,7155.0
14040,"Завадский,_Юрий_Александрович",14040,2,22,4685.673871989802
14644,Съезд_народных_депутатов_России,14644,5,16,17787.691582984524
14958,Филиокве,14958,7,7,987.8961665473818
15841,Восток-2,15841,1,8,0.0
16119,Пилотируемый_космический_корабль,16119,16,8,4406.663633640213
16177,Реймс,16177,4,12,23704.90267119751
17128,Луна-3,17128,1,8,0.0
