,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class
0,7.0,48.0,Лавра,0.3998216390609741,Q824786,Culture.Philosophy_and_religion,3652.0802314746584,7.0
1,7.0,48.0,Лавра,0.23371636867523193,Q824786,STEM.STEM*,3652.0802314746584,7.0
2,7.0,48.0,Лавра,0.1732981950044632,Q824786,Culture.Visual_arts.Visual_arts*,3652.0802314746584,7.0
3,7.0,48.0,Лавра,0.14805719256401062,Q824786,History_and_Society.Society,3652.0802314746584,7.0
4,7.0,48.0,Лавра,0.13661839067935944,Q824786,STEM.Biology,3652.0802314746584,7.0
5,7.0,48.0,Лавра,0.13661839067935944,Q824786,Culture.Visual_arts.Architecture,3652.0802314746584,7.0
6,7.0,48.0,Лавра,0.1259327530860901,Q824786,Culture.Sports,3652.0802314746584,7.0
7,7.0,48.0,Лавра,0.12253321707248688,Q824786,Culture.Media.Media*,3652.0802314746584,7.0
8,7.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Europe.Europe*,3652.0802314746584,7.0
9,7.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Asia.Asia*,3652.0802314746584,7.0
10,1.0,578.0,"Хонеккер, Эрих",0.9814634323120117,Q2607,Culture.Biography.Biography*,0.0,7.0
11,1.0,578.0,"Хонеккер, Эрих",0.546748161315918,Q2607,History_and_Society.Politics_and_government,0.0,7.0
12,1.0,578.0,"Хонеккер, Эрих",0.3702353835105896,Q2607,History_and_Society.Military_and_warfare,0.0,7.0
13,1.0,578.0,"Хонеккер, Эрих",0.30218379402160644,Q2607,Geography.Regions.Europe.Europe*,0.0,7.0
14,1.0,578.0,"Хонеккер, Эрих",0.16886694729328156,Q2607,History_and_Society.History,0.0,7.0
15,1.0,578.0,"Хонеккер, Эрих",0.11280541121959686,Q2607,History_and_Society.Society,0.0,7.0
16,1.0,578.0,"Хонеккер, Эрих",0.03021936321258545,Q2607,Geography.Regions.Europe.Western_Europe,0.0,7.0
17,1.0,578.0,"Хонеккер, Эрих",0.0,Q2607,Geography.Regions.Europe.Eastern_Europe,0.0,7.0
18,1.0,580.0,"Бернстайн, Леонард",0.9974591135978699,Q152505,Culture.Biography.Biography*,0.0,15.0
19,1.0,580.0,"Бернстайн, Леонард",0.9433575868606567,Q152505,Culture.Media.Music,0.0,15.0
20,1.0,580.0,"Бернстайн, Леонард",0.91965252161026,Q152505,Culture.Media.Media*,0.0,15.0
21,1.0,580.0,"Бернстайн, Леонард",0.4378334879875183,Q152505,Culture.Performing_arts,0.0,15.0
22,1.0,580.0,"Бернстайн, Леонард",0.0,Q152505,Geography.Regions.Europe.Europe*,0.0,15.0
23,1.0,580.0,"Бернстайн, Леонард",0.0,Q152505,Geography.Regions.Americas.North_America,0.0,15.0
24,7.0,1090.0,Тегеран-43,0.9637899398803711,Q1125687,Culture.Media.Films,71798.36287384441,15.0
25,7.0,1090.0,Тегеран-43,0.9466066956520081,Q1125687,Culture.Media.Media*,71798.36287384441,15.0
26,7.0,1090.0,Тегеран-43,0.29422497749328613,Q1125687,History_and_Society.Military_and_warfare,71798.36287384441,15.0
27,7.0,1090.0,Тегеран-43,0.014629947185516357,Q1125687,Geography.Regions.Europe.Europe*,71798.36287384441,15.0
28,2.0,1644.0,"Чирков, Борис Петрович",0.9969346523284912,Q584450,Culture.Biography.Biography*,1792.0,22.0
29,2.0,1644.0,"Чирков, Борис Петрович",0.6224693655967712,Q584450,History_and_Society.Military_and_warfare,1792.0,22.0
30,2.0,1644.0,"Чирков, Борис Петрович",0.287777841091156,Q584450,History_and_Society.Society,1792.0,22.0
31,2.0,1644.0,"Чирков, Борис Петрович",0.21207880973815918,Q584450,History_and_Society.History,1792.0,22.0
32,2.0,1644.0,"Чирков, Борис Петрович",0.2047950496673584,Q584450,Geography.Regions.Asia.Asia*,1792.0,22.0
33,2.0,1644.0,"Чирков, Борис Петрович",0.19165198707580566,Q584450,Geography.Regions.Asia.North_Asia,1792.0,22.0
