,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Views
0,1.0,48.0,Лавра,0.3998216390609741,Q824786,Culture.Philosophy_and_religion,0.0,25.0,2769.0
1,1.0,48.0,Лавра,0.23371636867523196,Q824786,STEM.STEM*,0.0,25.0,2769.0
2,1.0,48.0,Лавра,0.1732981950044632,Q824786,Culture.Visual_arts.Visual_arts*,0.0,25.0,2769.0
3,1.0,48.0,Лавра,0.14805719256401062,Q824786,History_and_Society.Society,0.0,25.0,2769.0
4,1.0,48.0,Лавра,0.13661839067935946,Q824786,STEM.Biology,0.0,25.0,2769.0
5,1.0,48.0,Лавра,0.13661839067935946,Q824786,Culture.Visual_arts.Architecture,0.0,25.0,2769.0
6,1.0,48.0,Лавра,0.1259327530860901,Q824786,Culture.Sports,0.0,25.0,2769.0
7,1.0,48.0,Лавра,0.12253321707248688,Q824786,Culture.Media.Media*,0.0,25.0,2769.0
8,1.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Europe.Europe*,0.0,25.0,2769.0
9,1.0,48.0,Лавра,0.0,Q824786,Geography.Regions.Asia.Asia*,0.0,25.0,2769.0
10,4.0,584.0,"Терехова, Маргарита Борисовна",0.997758150100708,Q271485,Culture.Biography.Biography*,7325.6270139115295,7.0,75915.0
11,4.0,584.0,"Терехова, Маргарита Борисовна",0.5544804334640503,Q271485,Culture.Biography.Women,7325.6270139115295,7.0,75915.0
12,4.0,584.0,"Терехова, Маргарита Борисовна",0.1097157895565033,Q271485,History_and_Society.History,7325.6270139115295,7.0,75915.0
13,4.0,584.0,"Терехова, Маргарита Борисовна",0.0,Q271485,Geography.Regions.Europe.Europe*,7325.6270139115295,7.0,75915.0
14,4.0,584.0,"Терехова, Маргарита Борисовна",0.0,Q271485,Geography.Regions.Europe.Eastern_Europe,7325.6270139115295,7.0,75915.0
15,4.0,584.0,"Терехова, Маргарита Борисовна",0.0,Q271485,Geography.Regions.Asia.Asia*,7325.6270139115295,7.0,75915.0
16,4.0,584.0,"Терехова, Маргарита Борисовна",0.0,Q271485,Geography.Regions.Asia.North_Asia,7325.6270139115295,7.0,75915.0
17,2.0,604.0,День России,0.9324633479118348,Q1432329,History_and_Society.Society,1850.0,4.0,4578.0
18,2.0,604.0,День России,0.6654205918312073,Q1432329,Culture.Philosophy_and_religion,1850.0,4.0,4578.0
19,2.0,604.0,День России,0.2509227991104126,Q1432329,History_and_Society.Military_and_warfare,1850.0,4.0,4578.0
20,2.0,604.0,День России,0.24809722805023196,Q1432329,Geography.Regions.Europe.Eastern_Europe,1850.0,4.0,4578.0
21,2.0,604.0,День России,0.0,Q1432329,Geography.Regions.Europe.Europe*,1850.0,4.0,4578.0
22,2.0,604.0,День России,0.0,Q1432329,Geography.Regions.Asia.Asia*,1850.0,4.0,4578.0
23,2.0,604.0,День России,0.0,Q1432329,Geography.Regions.Asia.North_Asia,1850.0,4.0,4578.0
24,1.0,747.0,Доминиканцы,0.4921981394290924,Q131479,Culture.Philosophy_and_religion,0.0,12.0,3056.0
25,1.0,747.0,Доминиканцы,0.19165198707580566,Q131479,Geography.Regions.Europe.Europe*,0.0,12.0,3056.0
26,1.0,747.0,Доминиканцы,0.14415885508060455,Q131479,History_and_Society.Politics_and_government,0.0,12.0,3056.0
27,1.0,747.0,Доминиканцы,0.0,Q131479,Geography.Regions.Europe.Southern_Europe,0.0,12.0,3056.0
28,4.0,996.0,Вики,0.9149109721183776,Q171,STEM.STEM*,3.0,11.0,41625.0
29,4.0,996.0,Вики,0.5775054097175598,Q171,STEM.Technology,3.0,11.0,41625.0
30,4.0,996.0,Вики,0.3702353835105896,Q171,Culture.Media.Media*,3.0,11.0,41625.0
31,4.0,996.0,Вики,0.2942249774932861,Q171,STEM.Computing,3.0,11.0,41625.0
32,4.0,996.0,Вики,0.19194278120994568,Q171,Culture.Internet_culture,3.0,11.0,41625.0
33,4.0,996.0,Вики,0.1778208613395691,Q171,Culture.Media.Software,3.0,11.0,41625.0
34,2.0,1086.0,"Жад, Клод",0.9984121918678284,Q183471,Culture.Biography.Biography*,0.0,22.0,840.0
35,2.0,1086.0,"Жад, Клод",0.94500470161438,Q183471,Culture.Biography.Women,0.0,22.0,840.0
36,2.0,1086.0,"Жад, Клод",0.29719679260253906,Q183471,Geography.Regions.Europe.Europe*,0.0,22.0,840.0
37,2.0,1086.0,"Жад, Клод",0.2763098945617676,Q183471,Geography.Regions.Europe.Western_Europe,0.0,22.0,840.0
38,2.0,1086.0,"Жад, Клод",0.11921291798353195,Q183471,History_and_Society.History,0.0,22.0,840.0
39,7.0,1090.0,Тегеран-43,0.9637899398803712,Q1125687,Culture.Media.Films,88838.01042557963,22.0,9943.0
40,7.0,1090.0,Тегеран-43,0.946606695652008,Q1125687,Culture.Media.Media*,88838.01042557963,22.0,9943.0
