,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,2.0,108.0,Европа (мифология),0.8634016513824463,Q165170,Culture.Literature,108.0,6646.0,4.0,2087.0,1.7268033027648926,Culture,Literature
1,4.0,206.0,Аэропорт,0.21734751760959625,Q1248784,STEM.Engineering,206.0,38885.4001935101,16.0,3159.0,0.869390070438385,STEM,Engineering
2,13.0,550.0,Иван Грозный,0.6584275364875793,Q7996,History_and_Society.Society,550.0,126535.3547732174,13.0,59651.0,8.559557974338531,History_and_Society,Society
3,1.0,1182.0,"Стриженов, Глеб Александрович",0.3140605390071869,Q4443978,History_and_Society.Military_and_warfare,1182.0,0.0,5.0,2025.0,0.3140605390071869,History_and_Society,Military_and_warfare
4,8.0,1640.0,"Черкасов, Николай Константинович",0.6001983880996704,Q713014,History_and_Society.Society,1640.0,64687.625020222855,5.0,2469.0,4.801587104797363,History_and_Society,Society
5,2.0,1644.0,"Чирков, Борис Петрович",0.6224693655967712,Q584450,History_and_Society.Military_and_warfare,1644.0,0.0,5.0,2597.0,1.2449387311935425,History_and_Society,Military_and_warfare
6,38.0,2477.0,"Антоник, Владимир Владимирович",0.2120788097381592,Q1717612,History_and_Society.Society,2477.0,457614.4936406121,1.0,3221.0,8.05899477005005,History_and_Society,Society
7,4.0,2485.0,Электровоз,0.8439050912857056,Q625151,History_and_Society.Transportation,2485.0,4871.264051271703,16.0,3022.0,3.3756203651428223,History_and_Society,Transportation
8,1.0,2605.0,Вепсы,0.8706072568893433,Q37556,History_and_Society.Society,2605.0,0.0,13.0,3023.0,0.8706072568893433,History_and_Society,Society
9,2.0,3618.0,Гигабайт,0.754925012588501,Q79738,STEM.Computing,3618.0,2308.0248393455317,17.0,3173.0,1.509850025177002,STEM,Computing
10,9.0,4089.0,Керченский пролив,0.7057950496673584,Q187890,History_and_Society.Society,4089.0,26782.727150307757,16.0,5288.0,6.352155447006226,History_and_Society,Society
11,2.0,4783.0,"Гильберт, Давид",0.5000100135803223,Q41585,STEM.Physics,4783.0,16600.0,17.0,1830.0,1.0000200271606445,STEM,Physics
12,2.0,4785.0,Проблемы Гильберта,0.16027602553367615,Q273167,Culture.Media.Media*,4785.0,13284.0,17.0,2208.0,0.3205520510673523,Culture,Media*
13,71.0,5221.0,Президент Российской Федерации,0.9416641592979432,Q218295,History_and_Society.Society,5221.0,1051781.955679389,18.0,29939.0,66.85815531015398,History_and_Society,Society
14,3.0,6333.0,"Крикалёв, Сергей Константинович",1.0000100135803225,Q313815,STEM.Space,6333.0,18743.75766137496,24.0,2277.0,3.0000300407409677,STEM,Space
15,3.0,6393.0,"Беляев, Павел Иванович",0.91965252161026,Q157931,History_and_Society.Military_and_warfare,6393.0,11677.336452966603,24.0,3247.0,2.75895756483078,History_and_Society,Military_and_warfare
16,1.0,6395.0,"Быковский, Валерий Фёдорович",0.9808859825134276,Q159681,History_and_Society.Transportation,6395.0,0.0,7.0,1782.0,0.9808859825134276,History_and_Society,Transportation
17,2.0,6499.0,"Джанибеков, Владимир Александрович",0.9967369437217712,Q466513,STEM.Space,6499.0,0.0,15.0,2527.0,1.9934738874435425,STEM,Space
18,3.0,6628.0,"Николаев, Андриян Григорьевич",0.8933194279670715,Q312474,History_and_Society.Transportation,6628.0,0.5,15.0,3025.0,2.6799582839012146,History_and_Society,Transportation
19,5.0,7132.0,"Волынов, Борис Валентинович",0.99219411611557,Q448538,History_and_Society.Transportation,7132.0,19923.5,15.0,3230.0,4.9609705805778495,History_and_Society,Transportation
20,2.0,7133.0,"Егоров, Борис Борисович",0.7931159734725952,Q352137,History_and_Society.Society,7133.0,3324.0,24.0,5122.0,1.5862319469451904,History_and_Society,Society
21,5.0,7541.0,Месяц,0.880807101726532,Q5151,STEM.STEM*,7541.0,49833.937313790186,9.0,3826.0,0.0,STEM,STEM*
22,3.0,8025.0,Окружающая среда,0.8267217874526978,Q43619,STEM.Earth_and_environment,8025.0,6647.0,23.0,2297.0,2.4801653623580933,STEM,Earth_and_environment
23,4.0,8499.0,"Штауффенберг, Клаус Шенк фон",0.9637899398803712,Q21209,History_and_Society.Military_and_warfare,8499.0,16105.23864193005,1.0,3272.0,3.855159759521485,History_and_Society,Military_and_warfare
24,1.0,9319.0,"Салазар, Антониу ди",0.233716368675232,Q151394,History_and_Society.Politics_and_government,9319.0,0.0,3.0,2167.0,0.233716368675232,History_and_Society,Politics_and_government
25,3.0,9490.0,"Шрёдер, Герхард",0.2227101624011993,Q2530,History_and_Society.Politics_and_government,9490.0,8958.068480522024,18.0,3238.0,0.6681304872035979,History_and_Society,Politics_and_government
26,2.0,9618.0,Татьянин день,0.8740872144699097,Q2997205,Culture.Philosophy_and_religion,9618.0,3324.0,9.0,3085.0,1.7481744289398193,Culture,Philosophy_and_religion
