,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,206,Аэропорт,206,3,11,5155.223034422097,Q1248784
1,330,Жидкое стекло,330,1,0,0.0,Q1636041
2,460,Атум,460,16,18,4033.8313489281018,Q170569
3,578,"Хонеккер, Эрих",578,2,4,13470.118433043835,Q2607
4,657,"Яблочков, Павел Николаевич",657,2,13,8014.5091213985115,Q464197
5,1023,"Литвинов, Максим Максимович",1023,2,9,7508.0,Q310100
6,1090,Тегеран-43,1090,3,3,2985.6158930352067,Q1125687
7,1100,"Алов, Александр Александрович",1100,4,3,13265.766146614858,Q2359384
8,1244,"Юм, Дэвид",1244,1,4,0.0,Q37160
9,1640,"Черкасов, Николай Константинович",1640,3,3,4345.835181434266,Q713014
10,1644,"Чирков, Борис Петрович",1644,4,5,20074.486482358043,Q584450
11,2477,"Антоник, Владимир Владимирович",2477,25,8,358584.84466912656,Q1717612
12,2599,"Ильюшин, Сергей Владимирович",2599,4,11,12679.882758421567,Q175457
13,2667,Науру,2667,3,23,31392.39456826333,Q697
14,2747,"Полтавченко, Георгий Сергеевич",2747,6,9,20878.775994722404,Q983514
15,2768,Коморы,2768,7,4,44525.578069351046,Q970
16,4228,Диоксид углерода,4228,11,6,31637.70821561233,Q1997
17,4548,Церковь адвентистов седьмого дня,4548,3,22,7509.0,Q104319
18,5380,"Яковлев, Владимир Анатольевич",5380,4,9,5603.939429397147,Q982620
19,5683,Тест Тьюринга,5683,2,9,7508.0,Q189223
20,6246,Абу-Симбел,6246,3,18,3755.0,Q134140
21,6393,"Беляев, Павел Иванович",6393,2,22,3928.404626440736,Q157931
22,7139,"Савицкая, Светлана Евгеньевна",7139,2,22,7314.316995803382,Q152318
23,7618,Эрмитаж (значения),7618,1,4,0.0,Q246286
24,7891,"Шарапова, Мария Юрьевна",7891,17,19,67590.6196539458,Q11666
25,8266,Сублимация (физика),8266,3,6,10759.033904488248,Q131800
26,8790,Триасовый период,8790,10,8,33204.460913330266,Q47158
27,9158,Алсу,9158,3,8,13865.015540393184,Q270951
28,9319,"Салазар, Антониу ди",9319,1,13,0.0,Q151394
29,9360,Полиграфия,9360,4,11,20260.60997784741,Q11892257
30,9791,Пепелац,9791,3,7,5951.183238039915,Q3892526
31,9838,Чусовая,9838,5,6,159611.32728187807,Q756091
32,10635,Орбита,10635,3,23,52625.18553319376,Q4130
33,10811,Евразийство,10811,1,9,0.0,Q1324222
34,11306,Криптозоология,11306,1,8,0.0,Q180933
35,11553,Орбитальная станция,11553,4,23,67440.43553319367,Q25956
36,11842,Бензпирен,11842,1,6,0.0,Q306051
37,12208,"Вольта, Алессандро",12208,1,4,0.0,Q680
38,12325,Удельная теплота плавления,12325,3,6,17.007533539731682,Q484790
39,12734,Бета-частица,12734,6,6,30366.857587583687,Q103531
40,13139,Тепловой двигатель,13139,1,0,0.0,Q178185
41,13330,"Летов, Егор",13330,7,5,22510.0,Q363371
42,13627,Теллур,13627,3,6,1116.8024684902118,Q1100
43,13996,Мценск,13996,3,4,24121.14008170381,Q162698
44,14000,Люксембургский язык,14000,2,4,13654.050731370578,Q9051
45,14030,Коммунизм (группа),14030,4,5,1.0,Q4229872
46,14036,Егор и опизденевшие,14036,3,5,0.0,Q4173662
47,14617,"Ушаков, Фёдор Фёдорович",14617,12,3,63798.58757450378,Q314339
48,14655,"Нестеров, Пётр Николаевич",14655,2,4,3755.0,Q966524
49,14822,"Родина (партия, Россия)",14822,2,7,3755.0,Q1190255
50,14918,PvP,14918,1,3,0.0,Q719798
51,14922,"Добро пожаловать, или Посторонним вход воспрещён",14922,6,3,93153.39683187431,Q4163531
52,15401,Тахион,15401,2,6,3755.0,Q41995
53,16380,"Лосев, Алексей Фёдорович",16380,1,23,0.0,Q1248105
54,16678,Флаг Франции,16678,3,4,7509.0,Q43192
55,17148,Максим Перепелица,17148,3,3,16975.047893331117,Q4276090
56,17445,"Судаев, Алексей Иванович",17445,3,15,6053.447595891529,Q603779
57,17745,Удельная теплота парообразования и конденсации,17745,5,6,11150.088505719934,Q483538
58,18649,"Троян, Надежда Викторовна",18649,3,12,0.0,Q3919648
59,18720,"Ширак, Жак",18720,1,5,0.0,Q2105
60,19578,"Бертолуччи, Бернардо",19578,7,8,73054.48131389284,Q53009
61,19655,Римский календарь,19655,3,23,0.0,Q200966
62,20419,"Стейниц, Вильгельм",20419,2,11,0.0,Q102648
63,20705,Западный берег реки Иордан,20705,7,0,78761.57385136742,Q36678
64,20932,Оккупация,20932,13,9,295639.37743189273,Q188686
65,21048,Запорожская область,21048,1,9,0.0,Q171334
66,21077,Реактивный двигатель,21077,2,0,3755.0,Q1922879
67,21526,Проконсул,21526,4,25,28717.775355597398,Q2912782
68,21681,Адмирал,21681,27,12,261322.2710661528,Q132851
69,21786,"Ищите женщину (фильм, 1982)",21786,3,10,11261.0,Q4205750
70,22488,Гессен,22488,5,4,29751.577898401312,Q1199
71,22512,Партия регионов,22512,9,27,15612.974018376512,Q4266
72,22532,"Тигипко, Сергей Леонидович",22532,9,27,342676.5247397515,Q379720
73,22767,Сумгайыт,22767,3,12,12129.277247196886,Q179833
74,23159,Грузинская Советская Социалистическая Республика,23159,15,11,119079.97627082109,Q130229
75,23194,Саар,23194,5,4,29880.366796416616,Q1201
76,23436,Синти-поп,23436,9,15,30011.0,Q1298934
77,23441,Гермафродит,23441,1,6,0.0,Q1168965
78,23740,Туркманчайский мирный договор,23740,3,4,925.1084857305564,Q875512
79,24012,Кронос,24012,3,16,3068.6754827615932,Q44204
80,24029,Хемниц,24029,2,17,3755.0,Q2795
81,24334,Анемометр,24334,1,4,0.0,Q175029
82,24396,Прогрессивное налогообложение,24396,2,23,13353.914180058151,Q509331
83,24506,Карс,24506,7,24,84721.86470280388,Q127063
84,24606,Кукушка (фильм),24606,6,24,14913.639586118214,Q387140
85,24674,Дебальцево,24674,2,9,3755.0,Q2371760
86,25064,История Эстонии,25064,5,12,17052.907551663087,Q949423
87,25114,Крекинг,25114,1,6,0.0,Q212749
88,25698,Алания (футбольный клуб),25698,2,2,3755.0,Q240438
89,25700,"Тихонов, Андрей Валерьевич",25700,8,2,350351.4313498743,Q502637
90,25715,Мазут,25715,9,6,51784.690520966644,Q898757
91,25762,Марена (мифология),25762,2,15,3755.0,Q936979
92,26216,Эйлат,26216,2,3,245.22924326700542,Q134762
93,26393,"Гриценко, Анатолий Степанович",26393,2,27,0.0,Q488211
94,26987,МиГ-3,26987,4,11,11561.523206656624,Q271446
95,27419,Сирийские арабские вооружённые силы,27419,17,0,89799.99752256687,Q849180
96,28894,Наши (движение),28894,7,9,21032.556988875494,Q866632
97,29136,Генрих I (король Англии),29136,2,18,3755.0,Q101384
98,29348,Булава,29348,1,21,0.0,Q272990
99,29415,Договор о нераспространении ядерного оружия,29415,2,4,2642.341763188012,Q186444
100,29476,"Дидро, Дени",29476,7,4,59357.01897020247,Q448
101,29517,Эль-Аюн,29517,7,0,18224.02480861251,Q47837
102,29886,Адмирал Флота Советского Союза,29886,8,12,3258.874091224456,Q1986828
103,30028,"Караченцов, Николай Петрович",30028,18,3,146088.91584509492,Q2365826
104,30039,Главный маршал рода войск,30039,8,12,69933.92337759706,Q2623629
105,30083,Союз правых сил,30083,7,9,24196.006656145102,Q686098
