modularity_class,Subtopic,Percentage,Count
0,Media*,43.8,91
0,Films,26.0,54
0,Society,5.8,12
0,Literature,4.3,9
0,Music,2.9,6
0,Video_games,2.4,5
0,Internet_culture,2.4,5
0,Military_and_warfare,1.9,4
0,Television,1.9,4
0,Computing,1.4,3
0,Transportation,1.0,2
0,Visual_arts*,1.0,2
0,Comics_and_Anime,1.0,2
0,History,1.0,2
0,North_America,0.5,1
0,Politics_and_government,0.5,1
0,STEM*,0.5,1
0,Technology,0.5,1
0,Geographical,0.5,1
0,Fashion,0.5,1
0,Business_and_economics,0.5,1
1,Politics_and_government,17.7,100
1,Society,11.7,66
1,Media*,10.6,60
1,Business_and_economics,7.3,41
1,Military_and_warfare,6.7,38
1,History,5.7,32
1,Philosophy_and_religion,3.7,21
1,Literature,3.2,18
1,Films,3.2,18
1,Music,2.7,15
1,Medicine_&_Health,2.5,14
1,Sports,2.3,13
1,Geographical,2.3,13
1,Technology,1.9,11
1,STEM*,1.9,11
1,Transportation,1.9,11
1,Earth_and_environment,1.2,7
1,Computing,1.2,7
1,Linguistics,1.2,7
1,Books,1.2,7
1,Performing_arts,1.1,6
1,Visual_arts*,1.1,6
1,North_America,0.7,4
1,Architecture,0.7,4
1,List_Disambig,0.7,4
1,Biology,0.7,4
1,Internet_culture,0.5,3
1,South_America,0.5,3
1,Space,0.5,3
1,Mathematics,0.4,2
1,Physics,0.4,2
1,Video_games,0.4,2
1,Engineering,0.4,2
1,Education,0.4,2
1,Asia*,0.2,1
1,Television,0.2,1
1,Chemistry,0.2,1
1,South_Asia,0.2,1
1,Oceania,0.2,1
1,Europe*,0.2,1
1,Food_and_drink,0.2,1
1,Western_Europe,0.2,1
2,Literature,22.6,33
2,Media*,19.2,28
2,Films,14.4,21
2,History,9.6,14
2,Medicine_&_Health,6.8,10
2,Society,4.8,7
2,Biology,4.8,7
2,Business_and_economics,2.7,4
2,Performing_arts,2.7,4
2,Politics_and_government,2.7,4
2,Philosophy_and_religion,2.1,3
2,Linguistics,1.4,2
2,Computing,1.4,2
2,Military_and_warfare,1.4,2
2,Entertainment,0.7,1
2,Music,0.7,1
2,STEM*,0.7,1
2,Comics_and_Anime,0.7,1
2,Transportation,0.7,1
3,Society,83.6,56
3,Politics_and_government,4.5,3
3,Business_and_economics,3.0,2
3,Military_and_warfare,3.0,2
3,Biology,1.5,1
3,Internet_culture,1.5,1
3,STEM*,1.5,1
3,Transportation,1.5,1
4,Biology,27.9,277
4,Society,19.4,193
4,Earth_and_environment,11.2,111
4,Medicine_&_Health,6.0,60
4,STEM*,4.1,41
4,History,3.4,34
4,Military_and_warfare,3.0,30
4,Media*,2.4,24
4,Philosophy_and_religion,2.3,23
4,Politics_and_government,2.3,23
4,Visual_arts*,2.2,22
4,Literature,1.6,16
4,Transportation,1.6,16
4,Geographical,1.3,13
4,Europe*,1.2,12
4,Technology,1.0,10
4,Food_and_drink,1.0,10
4,Business_and_economics,0.8,8
4,Asia*,0.7,7
4,Chemistry,0.6,6
4,Central_Asia,0.6,6
4,List_Disambig,0.5,5
4,Linguistics,0.5,5
4,Architecture,0.5,5
4,Sports,0.5,5
4,North_America,0.5,5
4,Physics,0.3,3
4,Oceania,0.3,3
4,Space,0.3,3
4,Western_Europe,0.2,2
4,Northern_Europe,0.2,2
4,Computing,0.2,2
4,Mathematics,0.1,1
4,Films,0.1,1
4,Fashion,0.1,1
4,Engineering,0.1,1
4,Education,0.1,1
4,Southeast_Asia,0.1,1
4,East_Asia,0.1,1
4,Comics_and_Anime,0.1,1
4,Central_America,0.1,1
4,Books,0.1,1
4,Africa*,0.1,1
5,Society,30.0,347
5,Military_and_warfare,14.8,171
5,History,9.0,104
5,Politics_and_government,8.2,95
5,Media*,4.6,53
5,Literature,4.5,52
5,STEM*,4.0,46
5,Visual_arts*,3.5,41
5,Philosophy_and_religion,3.1,36
5,Business_and_economics,2.1,24
5,Europe*,1.8,21
5,Films,1.6,18
5,Transportation,1.6,18
5,Technology,1.1,13
5,Architecture,1.1,13
5,Sports,0.9,10
5,Performing_arts,0.8,9
5,Music,0.7,8
5,Eastern_Europe,0.7,8
5,Medicine_&_Health,0.7,8
5,Linguistics,0.6,7
5,List_Disambig,0.5,6
5,Central_Asia,0.3,4
5,Computing,0.3,4
5,Western_Europe,0.3,4
5,Education,0.3,4
5,Geographical,0.3,3
5,Physics,0.3,3
5,Mathematics,0.3,3
5,Entertainment,0.3,3
5,Television,0.3,3
5,Food_and_drink,0.3,3
5,Engineering,0.2,2
5,Southern_Europe,0.2,2
5,Asia*,0.2,2
5,Books,0.2,2
5,Biology,0.2,2
5,North_America,0.1,1
5,Earth_and_environment,0.1,1
5,Chemistry,0.1,1
6,Sports,78.0,416
6,Society,9.8,52
6,Media*,4.1,22
6,Films,0.9,5
6,Architecture,0.8,4
6,Visual_arts*,0.8,4
6,Europe*,0.6,3
6,Business_and_economics,0.6,3
6,STEM*,0.6,3
6,Politics_and_government,0.6,3
6,Military_and_warfare,0.4,2
6,Music,0.4,2
6,Medicine_&_Health,0.4,2
6,Literature,0.4,2
6,History,0.4,2
6,Asia*,0.2,1
6,Entertainment,0.2,1
6,Computing,0.2,1
6,Southern_Europe,0.2,1
6,Biology,0.2,1
6,Television,0.2,1
6,Transportation,0.2,1
6,Philosophy_and_religion,0.2,1
7,Medicine_&_Health,55.9,123
7,Biology,7.3,16
7,STEM*,6.8,15
7,Mathematics,4.5,10
7,Sports,3.2,7
7,Society,3.2,7
7,Philosophy_and_religion,3.2,7
7,Physics,2.3,5
7,Transportation,2.3,5
7,Linguistics,2.3,5
7,Media*,1.8,4
7,Technology,1.8,4
7,Computing,0.9,2
7,Films,0.9,2
7,Military_and_warfare,0.5,1
7,Performing_arts,0.5,1
7,Literature,0.5,1
7,Politics_and_government,0.5,1
7,History,0.5,1
7,Education,0.5,1
7,Television,0.5,1
7,Music,0.5,1
8,Philosophy_and_religion,13.9,122
8,History,13.4,118
8,Media*,12.1,106
8,Society,11.5,101
8,Music,9.1,80
8,Military_and_warfare,7.3,64
8,Performing_arts,5.1,45
8,Literature,4.3,38
8,Visual_arts*,4.0,35
8,Films,3.1,27
8,Politics_and_government,2.6,23
8,STEM*,2.2,19
8,Medicine_&_Health,1.8,16
8,Transportation,1.4,12
8,Linguistics,1.3,11
8,Technology,1.1,10
8,Business_and_economics,1.0,9
8,Food_and_drink,0.7,6
8,Biology,0.6,5
8,Fashion,0.6,5
8,Europe*,0.6,5
8,Education,0.3,3
8,Computing,0.3,3
8,Sports,0.2,2
8,Physics,0.2,2
8,Mathematics,0.2,2
8,Television,0.1,1
8,Asia*,0.1,1
8,North_America,0.1,1
8,List_Disambig,0.1,1
8,Internet_culture,0.1,1
8,Geographical,0.1,1
8,Entertainment,0.1,1
8,Books,0.1,1
8,West_Asia,0.1,1
9,Space,23.4,143
9,Military_and_warfare,16.7,102
9,Transportation,15.9,97
9,Society,10.6,65
9,Technology,6.1,37
9,Media*,4.1,25
9,Engineering,3.3,20
9,STEM*,3.1,19
9,Politics_and_government,2.3,14
9,Physics,2.1,13
9,Medicine_&_Health,1.6,10
9,Visual_arts*,1.3,8
9,History,0.8,5
9,Business_and_economics,0.8,5
9,Earth_and_environment,0.8,5
9,Films,0.8,5
9,Philosophy_and_religion,0.7,4
9,Chemistry,0.7,4
9,Sports,0.7,4
9,Europe*,0.5,3
9,Biology,0.5,3
9,Music,0.5,3
9,Food_and_drink,0.5,3
9,Books,0.5,3
9,Literature,0.5,3
9,List_Disambig,0.3,2
9,Libraries_&_Information,0.2,1
9,Radio,0.2,1
9,Eastern_Europe,0.2,1
9,Computing,0.2,1
9,Television,0.2,1
9,Education,0.2,1
10,Linguistics,38.3,36
10,Society,10.6,10
10,Politics_and_government,7.4,7
10,Medicine_&_Health,7.4,7
10,STEM*,5.3,5
10,Philosophy_and_religion,3.2,3
10,Performing_arts,3.2,3
10,Media*,3.2,3
10,Business_and_economics,2.1,2
10,Music,2.1,2
10,Military_and_warfare,2.1,2
10,Computing,2.1,2
10,Libraries_&_Information,2.1,2
10,History,2.1,2
10,Visual_arts*,2.1,2
10,Mathematics,1.1,1
10,Literature,1.1,1
10,Physics,1.1,1
10,Films,1.1,1
10,South_Asia,1.1,1
10,Sports,1.1,1
11,Society,42.8,301
11,Media*,22.3,157
11,Military_and_warfare,9.1,64
11,Films,6.2,44
11,Music,5.0,35
11,Literature,2.3,16
11,Performing_arts,1.8,13
11,STEM*,1.1,8
11,History,1.1,8
11,Entertainment,1.0,7
11,Transportation,0.7,5
11,Television,0.7,5
11,Visual_arts*,0.7,5
11,Engineering,0.6,4
11,Computing,0.6,4
11,Business_and_economics,0.6,4
11,Internet_culture,0.4,3
11,Philosophy_and_religion,0.4,3
11,Video_games,0.4,3
11,Linguistics,0.3,2
11,Books,0.3,2
11,Politics_and_government,0.3,2
11,Education,0.3,2
11,Sports,0.3,2
11,Food_and_drink,0.1,1
11,Earth_and_environment,0.1,1
11,Software,0.1,1
11,Technology,0.1,1
11,Biology,0.1,1
12,Chemistry,28.1,148
12,Technology,12.7,67
12,Physics,9.7,51
12,Society,8.4,44
12,Medicine_&_Health,8.2,43
12,Business_and_economics,5.7,30
12,Biology,4.8,25
12,STEM*,3.8,20
12,Earth_and_environment,2.7,14
12,Transportation,2.5,13
12,Politics_and_government,1.5,8
12,History,1.3,7
12,Military_and_warfare,1.3,7
12,Media*,1.1,6
12,Engineering,1.1,6
12,Linguistics,1.0,5
12,Philosophy_and_religion,0.8,4
12,Mathematics,0.8,4
12,Visual_arts*,0.8,4
12,Food_and_drink,0.6,3
12,Space,0.6,3
12,Computing,0.6,3
12,Sports,0.4,2
12,Internet_culture,0.2,1
12,Geographical,0.2,1
12,Films,0.2,1
12,Europe*,0.2,1
12,Eastern_Europe,0.2,1
12,South_America,0.2,1
12,Television,0.2,1
12,Books,0.2,1
12,Asia*,0.2,1
13,Society,11.9,16
13,Military_and_warfare,10.4,14
13,Central_Asia,9.0,12
13,Politics_and_government,8.2,11
13,History,8.2,11
13,STEM*,7.5,10
13,Music,7.5,10
13,Technology,6.0,8
13,Transportation,4.5,6
13,Philosophy_and_religion,3.7,5
13,Asia*,2.2,3
13,Visual_arts*,2.2,3
13,Performing_arts,2.2,3
13,Architecture,2.2,3
13,Media*,2.2,3
13,Literature,2.2,3
13,Linguistics,1.5,2
13,Earth_and_environment,1.5,2
13,Business_and_economics,1.5,2
13,Northern_Europe,0.7,1
13,Films,0.7,1
13,Europe*,0.7,1
13,Education,0.7,1
13,Sports,0.7,1
13,Biology,0.7,1
13,Western_Europe,0.7,1
14,Society,42.0,55
14,Media*,9.9,13
14,STEM*,7.6,10
14,Business_and_economics,6.9,9
14,Military_and_warfare,6.1,8
14,Films,4.6,6
14,Sports,3.8,5
14,Education,2.3,3
14,Asia*,1.5,2
14,Transportation,1.5,2
14,Earth_and_environment,1.5,2
14,History,1.5,2
14,Biology,1.5,2
14,Medicine_&_Health,1.5,2
14,Politics_and_government,1.5,2
14,Philosophy_and_religion,0.8,1
14,Linguistics,0.8,1
14,Music,0.8,1
14,Internet_culture,0.8,1
14,Fashion,0.8,1
14,Europe*,0.8,1
14,Books,0.8,1
14,Visual_arts*,0.8,1
15,Military_and_warfare,45.7,122
15,Politics_and_government,8.6,23
15,Society,7.5,20
15,Technology,5.6,15
15,STEM*,4.5,12
15,History,4.1,11
15,Sports,3.0,8
15,Transportation,2.6,7
15,Films,2.2,6
15,Media*,1.9,5
15,Medicine_&_Health,1.9,5
15,Business_and_economics,1.9,5
15,Engineering,1.5,4
15,East_Asia,1.1,3
15,Linguistics,1.1,3
15,Biology,0.7,2
15,Literature,0.7,2
15,Computing,0.7,2
15,Visual_arts*,0.7,2
15,Books,0.4,1
15,Music,0.4,1
15,Performing_arts,0.4,1
15,Philosophy_and_religion,0.4,1
15,Physics,0.4,1
15,Radio,0.4,1
15,Geographical,0.4,1
15,Europe*,0.4,1
15,Earth_and_environment,0.4,1
15,Comics_and_Anime,0.4,1
16,Films,35.8,19
16,Media*,35.8,19
16,Literature,9.4,5
16,Performing_arts,5.7,3
16,Geographical,3.8,2
16,Engineering,1.9,1
16,Food_and_drink,1.9,1
16,Society,1.9,1
16,Television,1.9,1
16,Visual_arts*,1.9,1
17,Literature,76.1,35
17,Media*,10.9,5
17,Europe*,4.3,2
17,Linguistics,2.2,1
17,Military_and_warfare,2.2,1
17,STEM*,2.2,1
17,Society,2.2,1
18,Media*,37.7,23
18,Literature,19.7,12
18,Music,16.4,10
18,Society,4.9,3
18,Video_games,4.9,3
18,Books,3.3,2
18,Television,3.3,2
18,Business_and_economics,1.6,1
18,Entertainment,1.6,1
18,List_Disambig,1.6,1
18,STEM*,1.6,1
18,Sports,1.6,1
18,Visual_arts*,1.6,1
19,Transportation,51.5,35
19,Society,30.9,21
19,Media*,5.9,4
19,Internet_culture,2.9,2
19,Literature,2.9,2
19,Sports,2.9,2
19,Technology,1.5,1
19,Visual_arts*,1.5,1
