,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic
0,107.0,48.0,电影,0.6926519870758057,Q11424,Culture.Media.Media*,48.0,849231.9004778656,5.0,3427.0,74.1137626171112,Culture,Media*
1,24.0,306.0,辽宁省,0.1259327530860901,Q43934,History_and_Society.Politics_and_government,306.0,122494.76248830248,4.0,3199.0,3.022386074066162,History_and_Society,Politics_and_government
2,12.0,437.0,吉林省,0.1259327530860901,Q45208,History_and_Society.Politics_and_government,437.0,34535.903824186724,4.0,2938.0,1.511193037033081,History_and_Society,Politics_and_government
3,15.0,439.0,青海省,0.9697954058647156,Q45833,Geography.Regions.Asia.East_Asia,439.0,24075.60718838325,4.0,3264.0,0.0,Geography,East_Asia
4,5.0,598.0,非典型肺炎,0.9993433356285096,Q2633267,STEM.Medicine_&_Health,598.0,4896.0169078583,14.0,4749.0,4.9967166781425485,STEM,Medicine_&_Health
5,1.0,727.0,信義區 (臺北市),0.9724247455596924,Q271151,History_and_Society.Society,727.0,0.0,8.0,2812.0,0.9724247455596924,History_and_Society,Society
6,2.0,789.0,世说新语,0.7371681928634644,Q387863,Culture.Media.Media*,789.0,0.0,10.0,2884.0,1.4743363857269287,Culture,Media*
7,4.0,1134.0,吴起,0.5775054097175598,Q698899,Culture.Philosophy_and_religion,1134.0,10432.945856367076,10.0,3007.0,2.3100216388702393,Culture,Philosophy_and_religion
8,22.0,1248.0,时区,0.2120788097381592,Q12143,STEM.Earth_and_environment,1248.0,47117.12396622914,4.0,3573.0,4.665733814239503,STEM,Earth_and_environment
9,15.0,1412.0,20世纪,0.6370407938957214,Q6927,History_and_Society.History,1412.0,56497.12376118152,4.0,2473.0,9.555611908435822,History_and_Society,History
10,1.0,1806.0,恒河,0.16452647745609286,Q5089,History_and_Society.Society,1806.0,0.0,3.0,3360.0,0.16452647745609286,History_and_Society,Society
