,Unnamed: 0,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
0,86,中医学,86,41,3,90851.95664618094,Q200253
1,306,辽宁省,306,78,8,131624.7850136625,Q43934
2,416,中华人民共和国各省级行政区人口列表,416,12,8,1543.4341295533764,Q1854463
3,437,吉林省,437,80,8,136165.66403024114,Q45208
4,457,宁夏回族自治区,457,59,8,48009.70204290128,Q57448
5,470,中国行政区划,470,34,8,15030.515513252927,Q16911316
6,646,蒲松龄,646,3,14,321.3482547948985,Q318406
7,657,合肥市,657,63,8,65636.57231790597,Q185684
8,698,歌手,698,210,6,1006415.666218722,Q177220
9,825,傣族,825,11,8,27782.399120809125,Q840530
10,1016,巴斯克語,1016,3,8,483.87872921983046,Q8752
11,1114,超文本传输协议,1114,7,5,18809.760672421544,Q8777
12,1134,吴起,1134,1,8,0.0,Q698899
13,1175,T细胞,1175,16,3,7726.580740568316,Q193529
14,1228,黄鹤楼,1228,10,8,3875.918346014954,Q462372
15,1279,全国重点文物保护单位,1279,27,8,33078.2066242215,Q1188574
16,1401,活性炭,1401,5,3,4841.23364394283,Q190878
17,1581,英国国旗,1581,2,4,729.7965352031803,Q83278
18,1604,尼古拉·哥白尼,1604,4,3,1168.977331000842,Q619
19,1741,丹麦国旗,1741,2,4,63.34307881711809,Q60149
20,1806,恒河,1806,5,3,16309.405615797925,Q5089
21,1859,伽利略·伽利莱,1859,12,3,34267.339577551385,Q307
22,1987,臺灣問題,1987,54,0,241129.67209186679,Q706243
23,2077,3月,2077,2,5,1346.595238202691,Q110
24,2143,安乐死,2143,1,1,0.0,Q100159
25,2168,庄子,2168,4,5,7111.742374503581,Q47739
26,2222,美國獨立宣言,2222,13,0,17012.992917981075,Q127912
27,2239,美国历史,2239,9,3,20376.826330771117,Q131110
28,2309,中华民族,2309,6,8,4486.5272852673415,Q2780812
29,2797,荆州市,2797,47,8,7912.000660303549,Q71247
30,2805,二进制,2805,2,5,4478.0,Q3913
31,2924,伊利诺伊州,2924,17,0,40764.80121678412,Q1204
32,3039,托马斯·杰斐逊,3039,13,0,27568.677582390912,Q11812
33,3202,大洋洲,3202,23,5,92717.69694077516,Q538
34,3417,牙买加,3417,21,5,39954.775319654495,Q766
35,3449,水,3449,32,3,102260.55450731766,Q283
36,3472,柏林,3472,22,10,102621.7073467144,Q64
37,3510,乌鲁木齐市,3510,29,8,28334.961842146466,Q16959
38,3675,了不起的盖茨比,3675,4,4,2855.308620752333,Q214371
39,3692,梅兰芳,3692,5,8,1173.8373278066656,Q526989
40,3725,吴语,3725,28,8,22698.2509356909,Q34290
41,3749,伍子胥,3749,2,8,0.0,Q1268609
42,3896,带宽,3896,2,5,1619.127345484941,Q249998
43,3917,英国君主列表,3917,14,5,34980.88879246387,Q4869954
44,4040,双城记,4040,3,0,9262.677094910376,Q308918
45,4054,蔡明亮,4054,7,6,9073.101174575851,Q698710
46,4178,2003年,4178,23,12,12163.859437820503,Q1986
47,4224,科学,4224,24,3,94422.61239753287,Q336
48,4485,爆竹,4485,9,14,14348.217245162234,Q588748
49,4497,贺龙,4497,30,0,139032.07841536234,Q700713
50,4499,陈毅,4499,44,0,74039.63658017851,Q188408
51,4983,第二次世界大战各国伤亡统计,4983,4,0,66.070267368678,Q471779
52,5008,中央情报局,5008,31,0,106816.70784912296,Q37230
53,5142,1996年,5142,32,12,119840.08600180113,Q2070
54,5259,刘宋,5259,14,8,22744.692831158678,Q49697
55,5330,维吾尔语,5330,14,8,21337.13755716008,Q13263
56,5361,朝鲜族,5361,13,8,16148.951849888344,Q484464
57,5833,半导体,5833,18,5,46395.66987007584,Q11456
58,5940,直辖市,5940,61,8,50833.799651779336,Q499073
59,6013,藏語,6013,15,8,22532.333305125387,Q1641150
60,6107,冯玉祥,6107,11,0,8020.838381949876,Q365894
61,6121,姜维,6121,5,8,1227.9356323773095,Q280866
62,6219,洪都拉斯,6219,10,5,36662.771369715134,Q783
63,6427,细胞,6427,21,3,74002.1809999154,Q7868
64,6440,格里曆,6440,16,14,92752.34713818633,Q12138
65,6444,阴历,6444,2,4,61.492727682096564,Q185688
66,6746,東德,6746,28,0,75137.53587648178,Q16957
67,6812,牛腦海綿狀病變,6812,10,3,13032.294798125105,Q154666
68,7034,焦耳,7034,8,5,9765.547901886086,Q25269
69,7093,泰语,7093,21,8,39993.45625088958,Q9217
70,7172,缅甸语,7172,1,8,0.0,Q9228
71,7259,PHP,7259,8,5,23381.36508712657,Q59
72,7276,副省级市,7276,49,8,4420.317237527152,Q250811
73,7336,汉口,7336,34,8,22053.906344830262,Q1208250
74,7481,马王堆汉墓,7481,5,0,9718.882249285623,Q1196056
75,7614,孙策,7614,5,8,11603.188459199026,Q380598
76,7616,一个中国,7616,24,0,16897.425136887196,Q608889
77,7730,塞拉利昂,7730,21,5,13477.47632539167,Q1044
78,7850,苹果,7850,8,5,14818.077607120213,Q89
79,7966,卡爾·弗里德里希·高斯,7966,5,5,8860.48771376165,Q6722
80,8059,J·R·R·托爾金,8059,3,9,5736.408542931507,Q892
81,8188,1900年,8188,6,4,4391.666399063599,Q2034
82,8193,基度山恩仇記,8193,2,8,4478.0,Q191838
83,8316,吳廷琰,8316,11,0,16590.76428168557,Q192502
84,9287,李长春,9287,20,3,2912.021515748941,Q560391
85,9532,納尼亞傳奇,9532,2,4,0.0,Q483412
86,9815,尼尔·阿姆斯特朗,9815,4,0,5457.253679946504,Q1615
87,9915,光合作用,9915,2,6,2670.987070225712,Q11982
88,10066,參宿四,10066,2,3,0.0,Q12124
89,10068,超新星,10068,11,3,19963.400314616218,Q3937
90,10112,文熙俊,10112,3,10,652.2989868767961,Q488600
91,10160,原核生物,10160,5,3,3.7497216227061823,Q19081
92,10169,伊凡四世,10169,1,4,0.0,Q7996
93,10244,温州市,10244,42,8,67133.27716038689,Q42635
94,10358,气压,10358,5,0,1782.7776104258826,Q81809
95,10425,國家安全委員會 (蘇聯),10425,7,0,1264.7924465999938,Q80919
96,10527,奥姆真理教,10527,7,3,19071.804654556974,Q217408
97,10735,襄阳市,10735,62,8,92563.93078235608,Q71284
98,10768,戰艦,10768,7,4,4817.024255060631,Q182531
99,10832,无锡市,10832,62,8,180832.37543890602,Q42651
100,10873,何大一,10873,9,3,15818.400909636233,Q378003
101,10983,阿加莎·克里斯蒂,10983,1,0,0.0,Q35064
102,10996,奥兰多·布鲁姆,10996,21,4,48834.662839100856,Q44467
103,11024,中华人民共和国卫生部,11024,42,3,31628.563003604657,Q2604300
104,11410,夏爾·戴高樂,11410,12,0,11271.114643888472,Q2042
105,11554,嘉庆,11554,14,14,35389.773886439245,Q1077543
106,11833,红十字会与红新月会国际联合会,11833,11,3,5841.198907924104,Q1069175
107,11850,都江堰,11850,3,0,1540.5344439318314,Q824157
108,11898,1840年,11898,3,14,1744.1090932077152,Q7619
109,11909,八路军,11909,16,0,7756.886556767341,Q712870
110,12158,人民日报,12158,32,3,78744.27320450355,Q54340
111,12246,凯特·布兰切特,12246,27,4,21828.655414572437,Q80966
112,12428,印度人口,12428,4,5,4315.703426636155,Q996189
113,12565,南通市,12565,31,8,10397.654107272303,Q57947
114,12681,昆山市,12681,25,8,300.94326632378863,Q42773
115,12719,唐山市,12719,26,8,27527.968017019408,Q58422
116,12729,石家庄市,12729,57,8,41076.23093915516,Q58401
117,12911,欧内斯特·海明威,12911,6,4,5015.291567522405,Q23434
118,12946,羅文,12946,18,7,37172.23357028273,Q2190086
119,13048,南昌市,13048,66,8,42266.45681424277,Q171943
120,13370,热干面,13370,4,8,0.0,Q832338
121,13415,復活節,13415,8,0,28272.32955465957,Q21196
122,13450,柳毅傳書,13450,1,8,0.0,Q11109852
123,13530,地级市,13530,50,8,5244.135186599511,Q748149
124,13544,英镑,13544,15,5,44289.38645416135,Q25224
125,13658,中国科学院,13658,37,3,110352.66540339157,Q530471
126,15106,1582年,15106,1,14,0.0,Q6719
127,15528,爱丁堡大学,15528,4,0,3858.947483672983,Q160302
128,15810,佛山市,15810,56,8,101482.28661468453,Q34412
129,15937,指环王：双塔奇兵,15937,16,4,15175.649187201057,Q164963
130,16316,省委书记,16316,33,3,6902.791459998392,Q18614659
131,16337,列昂尼德·伊里奇·勃列日涅夫,16337,16,0,9863.846592676657,Q765165
132,16502,坦克人,16502,2,3,687.8274276927992,Q58682
133,16715,隋朝,16715,30,8,95138.99739120064,Q7405
134,16734,星展銀行,16734,4,7,0.0,Q705417
135,16920,弗朗茨·卡夫卡,16920,1,0,0.0,Q905
136,16932,王洪文,16932,12,0,4313.102762571114,Q455583
137,16946,硫酸,16946,12,3,15277.895077945315,Q4118
138,16974,武汉理工大学,16974,16,8,3940.3432899897807,Q832355
139,17002,獨裁政體,17002,6,0,20555.97915988704,Q317
140,17047,缠足,17047,4,4,5523.4804578781295,Q498231
141,17171,不平等条约,17171,13,0,13370.160504530277,Q864737
142,17356,啮齿目,17356,12,3,15698.474572415009,Q10850
143,17489,都铎王朝,17489,6,5,1248.0717467327654,Q101978
144,17705,蒙提·派森,17705,3,9,7704.28653485263,Q16402
145,17890,弗拉基米尔·普京,17890,28,0,44739.484278623895,Q7747
146,17919,海伦娜·博纳姆·卡特,17919,22,4,9006.052998629384,Q170428
147,18028,徐悲鸿,18028,2,3,4478.0,Q714152
148,18156,康有为,18156,6,4,13462.320818955151,Q360135
149,18253,中华人民共和国公安部,18253,17,3,44666.10758859728,Q2346285
150,18302,印象派,18302,3,10,4738.696203757902,Q40415
151,18340,西奥多·罗斯福,18340,13,4,19962.397139028373,Q33866
152,18682,上座部佛教,18682,7,5,19672.71775174777,Q132265
153,18826,河源市,18826,31,8,13120.330490749526,Q59205
154,18930,中央研究院,18930,18,0,55408.170939865384,Q337266
155,18935,黄冈市,18935,47,8,14442.390934281828,Q71355
156,18954,宋高宗,18954,5,8,20331.523277434728,Q7489
157,18978,潮州市,18978,41,8,108319.06276016537,Q59227
158,19352,林语堂,19352,6,8,1041.0553053556744,Q334086
159,19379,戒严,19379,6,3,6473.891068226084,Q715625
160,19380,紧急状态,19380,5,3,482.6092614875995,Q216227
161,19421,京广铁路,19421,15,8,7476.138814070788,Q2673907
162,19470,特別攻擊隊,19470,8,4,22712.708977299266,Q133194
163,19502,威廉·麦金莱,19502,6,0,9583.846623254738,Q35041
164,19718,赌圣,19718,19,2,1988.2962425652704,Q2837581
165,19798,新闻联播,19798,9,2,23029.679076704684,Q1196286
166,19804,熱帶氣旋,19804,6,5,6012.723557059566,Q8092
167,19839,篮球,19839,79,11,108600.45519323825,Q5372
168,19866,心動,19866,4,2,413.093253928608,Q832580
169,19956,祝融,19956,3,8,4683.071673126427,Q198249
170,19958,西王母,19958,18,14,34605.21315495225,Q1064059
171,20114,包豪斯,20114,2,10,3971.7003526223216,Q124354
172,20326,英業達集團,20326,7,5,2915.800125492964,Q6059838
173,20573,汞,20573,9,5,14997.204508970275,Q925
174,20906,张道陵,20906,9,14,1890.522400229609,Q197172
175,20977,謝雪心,20977,5,14,31573.416734394665,Q1766385
176,21021,乌兰巴托,21021,8,8,3919.1217884021416,Q23430
177,21022,银川市,21022,37,8,21167.083703826585,Q211243
178,21052,台灣海峽,21052,7,0,7334.778299484845,Q127031
