,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
0,41.0,86.0,中医学,0.9883227348327636,Q200253,STEM.Medicine_&_Health,86.0,90851.95664618094,3.0,3727.0
1,41.0,86.0,中医学,0.9706977605819702,Q200253,Culture.Philosophy_and_religion,86.0,90851.95664618094,3.0,3727.0
2,41.0,86.0,中医学,0.967909336090088,Q200253,STEM.STEM*,86.0,90851.95664618094,3.0,3727.0
3,41.0,86.0,中医学,0.13661839067935946,Q200253,STEM.Biology,86.0,90851.95664618094,3.0,3727.0
4,41.0,86.0,中医学,0.0,Q200253,Geography.Regions.Asia.Asia*,86.0,90851.95664618094,3.0,3727.0
5,41.0,86.0,中医学,0.0,Q200253,Geography.Regions.Asia.East_Asia,86.0,90851.95664618094,3.0,3727.0
6,78.0,306.0,辽宁省,0.9984121918678284,Q43934,Geography.Regions.Asia.East_Asia,306.0,131624.7850136625,8.0,4540.0
7,78.0,306.0,辽宁省,0.9942797422409058,Q43934,Geography.Regions.Asia.Asia*,306.0,131624.7850136625,8.0,4540.0
8,78.0,306.0,辽宁省,0.6723417043685913,Q43934,Geography.Geographical,306.0,131624.7850136625,8.0,4540.0
9,78.0,306.0,辽宁省,0.1259327530860901,Q43934,History_and_Society.Politics_and_government,306.0,131624.7850136625,8.0,4540.0
10,12.0,416.0,中华人民共和国各省级行政区人口列表,1.0,Q1854463,Compilation.List_Disambig,416.0,1543.4341295533764,8.0,5913.0
11,12.0,416.0,中华人民共和国各省级行政区人口列表,0.4980700483322144,Q1854463,Geography.Regions.Asia.East_Asia,416.0,1543.4341295533764,8.0,5913.0
12,12.0,416.0,中华人民共和国各省级行政区人口列表,0.4946784844398498,Q1854463,Geography.Regions.Asia.Asia*,416.0,1543.4341295533764,8.0,5913.0
13,12.0,416.0,中华人民共和国各省级行政区人口列表,0.14805719256401062,Q1854463,History_and_Society.Society,416.0,1543.4341295533764,8.0,5913.0
14,12.0,416.0,中华人民共和国各省级行政区人口列表,0.11597072333097458,Q1854463,History_and_Society.Business_and_economics,416.0,1543.4341295533764,8.0,5913.0
