,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views,Weight,Main topic,Subtopic,Label_en
0,4.0,507.0,逻辑,0.8354935646057129,Q8078,Culture.Philosophy_and_religion,507.0,14918.08007144875,19.0,2665.0,3.341974258422852,Culture,Philosophy_and_religion,logic
1,3.0,609.0,毕达哥拉斯,0.9284188151359558,Q10261,Culture.Philosophy_and_religion,609.0,10055.757635459237,19.0,3069.0,2.7852564454078674,Culture,Philosophy_and_religion,Pythagoras
2,12.0,949.0,新加坡历史,0.1259327530860901,Q1969320,Culture.Philosophy_and_religion,949.0,12732.17887975656,14.0,2647.0,1.511193037033081,Culture,Philosophy_and_religion,Singapore history
3,1.0,1134.0,吴起,0.5775054097175598,Q698899,Culture.Philosophy_and_religion,1134.0,0.0,21.0,2050.0,0.5775054097175598,Culture,Philosophy_and_religion,Wu Qi
4,3.0,1137.0,孙膑,0.585111141204834,Q334090,Culture.Philosophy_and_religion,1137.0,20759.484396288746,21.0,2599.0,1.755333423614502,Culture,Philosophy_and_religion,Sun Bin
5,9.0,1256.0,钠,0.8774868249893188,Q658,STEM.Chemistry,1256.0,40210.43212019558,11.0,2797.0,7.89738142490387,STEM,Chemistry,sodium
6,4.0,1275.0,镁,0.7663036584854126,Q660,STEM.Chemistry,1275.0,3329.0,11.0,2709.0,3.0652146339416504,STEM,Chemistry,magnesium
7,7.0,2292.0,冬季奥林匹克运动会,0.9964163899421692,Q82414,Culture.Sports,2292.0,8403.70692264957,18.0,2015.0,6.974914729595183,Culture,Sports,Winter Olympic Games
8,2.0,2456.0,顾城,0.2509227991104126,Q1381667,Culture.Literature,2456.0,0.0,16.0,2220.0,0.5018455982208252,Culture,Literature,Gu Cheng
9,2.0,2460.0,文明,0.4532718360424042,Q8432,History_and_Society.Society,2460.0,2028.7477579161755,10.0,2467.0,0.9065436720848083,History_and_Society,Society,civilization
10,4.0,2533.0,春分,0.9566442370414734,Q1339268,STEM.STEM*,2533.0,10248.110075963335,15.0,2805.0,0.0,STEM,STEM*,spring equinox
