,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
0,66.0,48.0,电影,0.6926519870758057,Q11424,Culture.Media.Media*,48.0,537129.5369410318,7.0,3229.0
1,66.0,48.0,电影,0.5156299471855164,Q11424,Culture.Media.Films,48.0,537129.5369410318,7.0,3229.0
2,66.0,48.0,电影,0.287777841091156,Q11424,STEM.STEM*,48.0,537129.5369410318,7.0,3229.0
3,66.0,48.0,电影,0.16027602553367615,Q11424,History_and_Society.Society,48.0,537129.5369410318,7.0,3229.0
4,17.0,595.0,人口密度,0.5698626637458801,Q22856,STEM.STEM*,595.0,54713.40547897134,4.0,3213.0
5,17.0,595.0,人口密度,0.287777841091156,Q22856,History_and_Society.Politics_and_government,595.0,54713.40547897134,4.0,3213.0
6,17.0,595.0,人口密度,0.23371636867523196,Q22856,STEM.Medicine_&_Health,595.0,54713.40547897134,4.0,3213.0
7,17.0,595.0,人口密度,0.21734751760959625,Q22856,History_and_Society.Society,595.0,54713.40547897134,4.0,3213.0
8,17.0,595.0,人口密度,0.19194278120994568,Q22856,History_and_Society.Business_and_economics,595.0,54713.40547897134,4.0,3213.0
9,9.0,657.0,合肥市,0.952584147453308,Q185684,Geography.Regions.Asia.East_Asia,657.0,31174.10119391189,2.0,2900.0
10,9.0,657.0,合肥市,0.8962613940238953,Q185684,Geography.Regions.Asia.Asia*,657.0,31174.10119391189,2.0,2900.0
11,9.0,657.0,合肥市,0.5234303474426271,Q185684,Geography.Geographical,657.0,31174.10119391189,2.0,2900.0
12,1.0,720.0,杜鵑花屬,1.0000100135803225,Q189393,STEM.Biology,720.0,0.0,4.0,3152.0
13,1.0,720.0,杜鵑花屬,0.9996055364608764,Q189393,STEM.STEM*,720.0,0.0,4.0,3152.0
14,1.0,720.0,杜鵑花屬,0.10088862478733064,Q189393,Culture.Food_and_drink,720.0,0.0,4.0,3152.0
15,7.0,727.0,信義區 (臺北市),0.9890230894088744,Q271151,Culture.Biography.Biography*,727.0,5955.590021111326,13.0,2054.0
16,7.0,727.0,信義區 (臺北市),0.9748311638832092,Q271151,Geography.Regions.Asia.East_Asia,727.0,5955.590021111326,13.0,2054.0
17,7.0,727.0,信義區 (臺北市),0.9724247455596924,Q271151,History_and_Society.Society,727.0,5955.590021111326,13.0,2054.0
18,7.0,727.0,信義區 (臺北市),0.9626831412315368,Q271151,Geography.Regions.Asia.Asia*,727.0,5955.590021111326,13.0,2054.0
19,7.0,727.0,信義區 (臺北市),0.538993239402771,Q271151,Geography.Geographical,727.0,5955.590021111326,13.0,2054.0
20,5.0,949.0,新加坡历史,0.4895974268913269,Q1969320,Geography.Regions.Asia.Southeast_Asia,949.0,11466.991195028177,18.0,2517.0
21,5.0,949.0,新加坡历史,0.42531375789642334,Q1969320,Geography.Regions.Asia.Asia*,949.0,11466.991195028177,18.0,2517.0
22,5.0,949.0,新加坡历史,0.1259327530860901,Q1969320,Culture.Philosophy_and_religion,949.0,11466.991195028177,18.0,2517.0
23,5.0,949.0,新加坡历史,0.10088862478733064,Q1969320,STEM.STEM*,949.0,11466.991195028177,18.0,2517.0
24,32.0,1116.0,博士,0.8175845146179199,Q849697,History_and_Society.Education,1116.0,182250.90324993434,13.0,3001.0
25,32.0,1116.0,博士,0.320831298828125,Q849697,STEM.STEM*,1116.0,182250.90324993434,13.0,3001.0
26,32.0,1116.0,博士,0.20182321965694427,Q849697,STEM.Medicine_&_Health,1116.0,182250.90324993434,13.0,3001.0
27,32.0,1116.0,博士,0.15611489117145538,Q849697,Culture.Philosophy_and_religion,1116.0,182250.90324993434,13.0,3001.0
28,2.0,1160.0,李靖,0.996837317943573,Q706792,Culture.Biography.Biography*,1160.0,2492.100568295322,0.0,2692.0
29,2.0,1160.0,李靖,0.4980402460098266,Q706792,Geography.Regions.Asia.East_Asia,1160.0,2492.100568295322,0.0,2692.0
30,2.0,1160.0,李靖,0.4966868629455566,Q706792,Geography.Regions.Asia.Asia*,1160.0,2492.100568295322,0.0,2692.0
31,1.0,1266.0,炼金术,0.7931159734725952,Q39689,Culture.Philosophy_and_religion,1266.0,0.0,8.0,2939.0
32,1.0,1266.0,炼金术,0.6442351341247559,Q39689,STEM.STEM*,1266.0,0.0,8.0,2939.0
33,1.0,1266.0,炼金术,0.4921981394290924,Q39689,History_and_Society.History,1266.0,0.0,8.0,2939.0
34,1.0,1266.0,炼金术,0.16886694729328156,Q39689,Culture.Literature,1266.0,0.0,8.0,2939.0
35,1.0,1266.0,炼金术,0.0,Q39689,Geography.Regions.Europe.Europe*,1266.0,0.0,8.0,2939.0
36,4.0,1275.0,镁,0.9362950325012208,Q660,STEM.STEM*,1275.0,4523.342233329121,8.0,3202.0
37,4.0,1275.0,镁,0.7663036584854126,Q660,STEM.Chemistry,1275.0,4523.342233329121,8.0,3202.0
38,4.0,1275.0,镁,0.13297423720359802,Q660,STEM.Medicine_&_Health,1275.0,4523.342233329121,8.0,3202.0
39,13.0,1380.0,1960年,0.6150978803634644,Q3754,History_and_Society.History,1380.0,114138.5005700716,7.0,2578.0
40,13.0,1380.0,1960年,0.26285186409950256,Q3754,Culture.Media.Media*,1380.0,114138.5005700716,7.0,2578.0
41,13.0,1380.0,1960年,0.11921291798353195,Q3754,STEM.STEM*,1380.0,114138.5005700716,7.0,2578.0
42,13.0,1380.0,1960年,0.0,Q3754,Geography.Regions.Europe.Western_Europe,1380.0,114138.5005700716,7.0,2578.0
43,13.0,1380.0,1960年,0.0,Q3754,Geography.Regions.Europe.Europe*,1380.0,114138.5005700716,7.0,2578.0
44,3.0,1401.0,活性炭,0.9841036200523376,Q190878,STEM.STEM*,1401.0,2000.5402920555327,8.0,2856.0
45,3.0,1401.0,活性炭,0.6001983880996704,Q190878,STEM.Chemistry,1401.0,2000.5402920555327,8.0,2856.0
46,3.0,1401.0,活性炭,0.4765896201133728,Q190878,STEM.Medicine_&_Health,1401.0,2000.5402920555327,8.0,2856.0
47,3.0,1401.0,活性炭,0.16886694729328156,Q190878,STEM.Technology,1401.0,2000.5402920555327,8.0,2856.0
48,3.0,1446.0,晏婴,0.9777238368988036,Q1045306,Culture.Biography.Biography*,1446.0,3739.609560575002,5.0,2855.0
49,3.0,1446.0,晏婴,0.2047950496673584,Q1045306,Geography.Regions.Asia.Asia*,1446.0,3739.609560575002,5.0,2855.0
50,3.0,1446.0,晏婴,0.19826446676254272,Q1045306,Geography.Regions.Asia.East_Asia,1446.0,3739.609560575002,5.0,2855.0
51,3.0,1446.0,晏婴,0.15611489117145538,Q1045306,History_and_Society.History,1446.0,3739.609560575002,5.0,2855.0
52,3.0,2092.0,世界知识产权组织,0.6859594583511353,Q177773,History_and_Society.Politics_and_government,2092.0,0.0,4.0,1715.0
53,3.0,2092.0,世界知识产权组织,0.546748161315918,Q177773,History_and_Society.Business_and_economics,2092.0,0.0,4.0,1715.0
54,3.0,2092.0,世界知识产权组织,0.3415925204753876,Q177773,History_and_Society.Education,2092.0,0.0,4.0,1715.0
55,3.0,2092.0,世界知识产权组织,0.3140605390071869,Q177773,STEM.STEM*,2092.0,0.0,4.0,1715.0
56,3.0,2092.0,世界知识产权组织,0.10375863313674928,Q177773,History_and_Society.Society,2092.0,0.0,4.0,1715.0
57,3.0,2092.0,世界知识产权组织,0.0,Q177773,Geography.Regions.Europe.Europe*,2092.0,0.0,4.0,1715.0
58,3.0,2092.0,世界知识产权组织,0.0,Q177773,Geography.Regions.Europe.Western_Europe,2092.0,0.0,4.0,1715.0
59,9.0,2292.0,冬季奥林匹克运动会,0.9964163899421692,Q82414,Culture.Sports,2292.0,12790.56335091686,4.0,2281.0
60,9.0,2292.0,冬季奥林匹克运动会,0.13661839067935946,Q82414,Culture.Biography.Biography*,2292.0,12790.56335091686,4.0,2281.0
61,9.0,2292.0,冬季奥林匹克运动会,0.0,Q82414,Geography.Regions.Europe.Europe*,2292.0,12790.56335091686,4.0,2281.0
62,9.0,2292.0,冬季奥林匹克运动会,0.0,Q82414,Geography.Regions.Europe.Northern_Europe,2292.0,12790.56335091686,4.0,2281.0
63,6.0,2309.0,中华民族,0.8267217874526978,Q2780812,History_and_Society.Politics_and_government,2309.0,37936.40605624873,7.0,2572.0
64,6.0,2309.0,中华民族,0.287777841091156,Q2780812,Culture.Philosophy_and_religion,2309.0,37936.40605624873,7.0,2572.0
65,6.0,2309.0,中华民族,0.1824355274438858,Q2780812,History_and_Society.Society,2309.0,37936.40605624873,7.0,2572.0
66,6.0,2309.0,中华民族,0.0,Q2780812,Geography.Regions.Europe.Europe*,2309.0,37936.40605624873,7.0,2572.0
67,6.0,2309.0,中华民族,0.0,Q2780812,Geography.Regions.Asia.Asia*,2309.0,37936.40605624873,7.0,2572.0
68,12.0,2638.0,密歇根州,0.9381340146064758,Q1166,Geography.Regions.Americas.North_America,2638.0,8301.322285071008,4.0,2515.0
69,12.0,2638.0,密歇根州,0.4688006341457367,Q1166,Geography.Geographical,2638.0,8301.322285071008,4.0,2515.0
70,2.0,2701.0,魔笛,0.9626831412315368,Q5064,Culture.Performing_arts,2701.0,1730.8063109321827,7.0,3197.0
