modularity_class,Subtopic,Percentage,Count
0,Society,13.4,59
0,Business_and_economics,12.2,54
0,Transportation,7.9,35
0,Media*,7.5,33
0,Sports,6.6,29
0,Engineering,5.0,22
0,Politics_and_government,4.5,20
0,Literature,4.1,18
0,Visual_arts*,3.4,15
0,Biology,3.2,14
0,Philosophy_and_religion,3.2,14
0,Military_and_warfare,3.2,14
0,History,2.9,13
0,Films,2.7,12
0,Linguistics,2.5,11
0,STEM*,2.3,10
0,East_Asia,1.8,8
0,Technology,1.6,7
0,Architecture,1.1,5
0,Food_and_drink,1.1,5
0,Asia*,0.9,4
0,Television,0.7,3
0,Oceania,0.7,3
0,North_America,0.7,3
0,Music,0.7,3
0,Medicine_&_Health,0.7,3
0,Earth_and_environment,0.7,3
0,Internet_culture,0.7,3
0,Geographical,0.7,3
0,Physics,0.5,2
0,Software,0.5,2
0,Chemistry,0.5,2
0,Fashion,0.5,2
0,Computing,0.2,1
0,Comics_and_Anime,0.2,1
0,Southeast_Asia,0.2,1
0,Space,0.2,1
0,Europe*,0.2,1
0,Video_games,0.2,1
0,Education,0.2,1
1,History,44.4,40
1,Military_and_warfare,20.0,18
1,Politics_and_government,5.6,5
1,East_Asia,4.4,4
1,Literature,4.4,4
1,Media*,4.4,4
1,Philosophy_and_religion,3.3,3
1,Society,3.3,3
1,Transportation,3.3,3
1,STEM*,2.2,2
1,Food_and_drink,1.1,1
1,Sports,1.1,1
1,Television,1.1,1
1,Visual_arts*,1.1,1
2,Society,47.4,197
2,Media*,13.9,58
2,Music,8.4,35
2,Television,6.7,28
2,STEM*,6.0,25
2,Films,3.1,13
2,Sports,2.9,12
2,Performing_arts,2.6,11
2,Business_and_economics,1.4,6
2,Literature,1.2,5
2,Visual_arts*,1.2,5
2,Philosophy_and_religion,1.0,4
2,History,0.7,3
2,Military_and_warfare,0.5,2
2,Internet_culture,0.5,2
2,Politics_and_government,0.5,2
2,Computing,0.5,2
2,Video_games,0.5,2
2,Comics_and_Anime,0.2,1
2,Fashion,0.2,1
2,East_Asia,0.2,1
2,Transportation,0.2,1
3,Media*,34.8,171
3,Films,19.8,97
3,Society,10.0,49
3,STEM*,6.5,32
3,Music,6.3,31
3,Television,5.7,28
3,Literature,3.5,17
3,Business_and_economics,2.2,11
3,History,2.2,11
3,Sports,1.8,9
3,Philosophy_and_religion,1.6,8
3,Books,1.0,5
3,Fashion,0.8,4
3,Politics_and_government,0.8,4
3,Visual_arts*,0.6,3
3,Military_and_warfare,0.4,2
3,Internet_culture,0.4,2
3,Performing_arts,0.2,1
3,Biology,0.2,1
3,Linguistics,0.2,1
3,Engineering,0.2,1
3,East_Asia,0.2,1
3,Transportation,0.2,1
3,Asia*,0.2,1
4,Media*,21.1,81
4,Literature,16.7,64
4,Comics_and_Anime,12.8,49
4,Visual_arts*,9.6,37
4,Films,5.7,22
4,Video_games,4.4,17
4,Music,4.2,16
4,Television,4.2,16
4,Politics_and_government,3.4,13
4,Internet_culture,2.6,10
4,STEM*,2.1,8
4,History,1.8,7
4,Society,1.6,6
4,East_Asia,1.6,6
4,Military_and_warfare,1.3,5
4,Sports,1.3,5
4,Asia*,1.0,4
4,Biology,0.8,3
4,Transportation,0.8,3
4,Education,0.8,3
4,Earth_and_environment,0.8,3
4,Philosophy_and_religion,0.5,2
4,Computing,0.3,1
4,List_Disambig,0.3,1
4,Entertainment,0.3,1
4,Engineering,0.3,1
5,Politics_and_government,19.5,109
5,Military_and_warfare,13.0,73
5,History,11.2,63
5,Society,8.9,50
5,Biology,5.4,30
5,Media*,5.0,28
5,Business_and_economics,4.3,24
5,Philosophy_and_religion,3.9,22
5,Sports,3.2,18
5,Geographical,2.9,16
5,STEM*,2.1,12
5,Visual_arts*,2.0,11
5,Films,1.6,9
5,Linguistics,1.4,8
5,Literature,1.4,8
5,Earth_and_environment,1.4,8
5,East_Asia,1.2,7
5,Transportation,1.2,7
5,Medicine_&_Health,1.1,6
5,Asia*,0.9,5
5,North_America,0.7,4
5,Technology,0.7,4
5,Television,0.5,3
5,Computing,0.5,3
5,Food_and_drink,0.5,3
5,Education,0.5,3
5,Mathematics,0.5,3
5,List_Disambig,0.5,3
5,Europe*,0.5,3
5,Africa*,0.5,3
5,Internet_culture,0.4,2
5,Engineering,0.4,2
5,Chemistry,0.4,2
5,Southeast_Asia,0.4,2
5,Architecture,0.4,2
5,Oceania,0.2,1
5,Performing_arts,0.2,1
5,Southern_Europe,0.2,1
5,Video_games,0.2,1
6,Politics_and_government,31.5,41
6,Media*,11.5,15
6,Business_and_economics,6.9,9
6,STEM*,6.9,9
6,Society,6.2,8
6,East_Asia,4.6,6
6,Military_and_warfare,3.8,5
6,Education,3.8,5
6,Sports,3.8,5
6,History,3.8,5
6,Music,3.1,4
6,Philosophy_and_religion,2.3,3
6,Transportation,2.3,3
6,Visual_arts*,2.3,3
6,Films,1.5,2
6,Books,0.8,1
6,Literature,0.8,1
6,Food_and_drink,0.8,1
6,Technology,0.8,1
6,Television,0.8,1
6,Europe*,0.8,1
6,Biology,0.8,1
7,Media*,43.9,163
7,Films,28.0,104
7,Literature,9.2,34
7,Society,3.8,14
7,Sports,2.2,8
7,Books,1.6,6
7,History,1.3,5
7,Transportation,1.1,4
7,Television,1.1,4
7,Biology,1.1,4
7,Music,0.8,3
7,North_America,0.8,3
7,Performing_arts,0.8,3
7,Visual_arts*,0.8,3
7,Linguistics,0.5,2
7,Geographical,0.3,1
7,Food_and_drink,0.3,1
7,Europe*,0.3,1
7,Entertainment,0.3,1
7,Philosophy_and_religion,0.3,1
7,Politics_and_government,0.3,1
7,Education,0.3,1
7,East_Asia,0.3,1
7,Computing,0.3,1
7,Comics_and_Anime,0.3,1
