,Label,Id,Degree,modularity_class,betweenesscentrality
22,历史,22,20,20,185952.62167048772
45,戏剧,45,14,7,115438.88548909433
67,物理学,67,17,5,87167.2988703381
161,生命,161,2,5,954.3346927866152
622,加拿大行政区划,622,3,5,370.3313272896688
658,GNU通用公共许可证,658,2,7,3914.0
824,昆明市,824,12,3,50304.65862254573
861,彝族,861,8,3,64154.09169043675
1062,汽油,1062,5,5,6792.333742066227
1134,吴起,1134,1,19,0.0
1137,孙膑,1137,5,18,5587.71652059734
1160,李靖,1160,4,18,5799.162498971153
1279,全国重点文物保护单位,1279,9,18,24590.65969614503
1380,1960年,1380,12,12,90449.50456859829
1747,西德,1747,23,3,182410.37178406725
2089,著作權,2089,12,7,51180.74385112454
2660,金正日,2660,75,14,59961.915090696966
3177,歌劇魅影_(音樂劇),3177,20,8,24166.035327901245
3506,二名法,3506,29,9,105416.12693312071
3581,吴邦国,3581,5,6,8534.144876261806
3593,托斯卡,3593,2,8,0.0
4042,戰國策,4042,8,18,37849.989307793956
4054,蔡明亮,4054,2,3,0.0
4099,藏族,4099,8,3,23195.576267396656
4252,巴哈伊信仰,4252,8,5,13539.427657760434
4316,港元,4316,22,13,78557.1156632228
4425,西安交通大学,4425,6,20,10781.885576296683
4499,陈毅,4499,28,6,114219.06445442
4638,抗原,4638,3,9,4697.175251612935
4665,辽东半岛,4665,1,12,0.0
4796,两伊战争,4796,19,6,62957.238940763935
5163,安东尼·高迪,5163,1,16,0.0
5411,波罗的海,5411,10,12,33195.36998725496
5431,路德维希·维特根斯坦,5431,4,1,9547.788180541527
5456,侯景之乱,5456,1,18,0.0
5484,民主社会主义,5484,4,10,5637.184722685396
5552,上甘岭战役,5552,8,14,597.4450097758532
5631,工会,5631,3,13,2440.51112721162
5854,荆轲,5854,7,18,29426.421013577587
6055,休斯敦,6055,8,5,22213.827446875395
6176,丁汝昌,6176,6,14,9167.70638446189
6236,协和式客机,6236,5,1,31551.3520416173
6392,西貢區,6392,4,13,888.7261979922714
6545,金日成,6545,83,14,148775.61403652682
6610,帛琉,6610,23,12,69740.38886069518
6754,华沙条约组织,6754,15,6,69764.07073059675
6939,新石器时代,6939,10,18,29524.38442688805
7222,慰安妇,7222,18,12,109166.60261882891
7231,陳美齡,7231,2,13,1075.2021149564619
7249,國際特赦組織,7249,13,18,47287.16270561969
7284,上海交通大学,7284,12,20,58571.12513867084
7432,金正淑_(朝鮮),7432,25,14,1682.5174967235084
7491,旧约圣经,7491,8,5,18255.550837960556
7600,日本天皇列表,7600,5,19,43754.210339260644
7867,寒武纪,7867,11,9,32513.988333090598
8041,基里巴斯,8041,3,5,274.6569127448496
8253,曾母暗沙,8253,7,16,0.0
8269,五角大楼,8269,6,1,23325.427341476905
8292,土伦,8292,2,12,0.0
8316,吳廷琰,8316,8,6,13302.62189741711
9237,列宁主义,9237,6,6,6566.283568466943
9293,李舜臣,9293,6,14,1780.775404487926
9763,杨绛,9763,1,6,0.0
9970,中国人民政治协商会议,9970,14,6,27703.761342981
10022,中國人民解放軍駐香港部隊,10022,1,12,0.0
10148,彼得大帝,10148,2,12,7826.0
10160,原核生物,10160,2,9,3914.0
10262,七国时代,10262,5,23,1280.8906538464757
10327,盖世太保,10327,4,2,35852.77758176916
10347,中国人民政治协商会议全国委员会,10347,23,6,61540.960247303345
10409,人口過多,10409,4,5,10778.834766101942
10467,九三学社,10467,13,6,15719.097269921425
10527,奥姆真理教,10527,3,14,2310.6209260724377
10554,角斗士_(电影),10554,18,4,49141.80880488561
10630,靖国神社,10630,8,14,32169.63641382375
10731,朝鮮漢字,10731,62,14,209441.22550682627
10797,吴仪,10797,15,6,16479.884072258927
10983,阿加莎·克里斯蒂,10983,2,8,787.1692802139742
10994,刘贺,10994,2,18,3913.9999999999995
11083,国号,11083,3,5,30603.914859025535
11550,金泳三,11550,16,14,61620.48341343714
11617,盧泰愚,11617,13,14,16015.868474024954
11633,秦岭,11633,3,3,2750.1424863808084
11793,新纪元运动,11793,2,3,3414.332315180314
12048,脑死,12048,1,9,0.0
12146,費奧多爾·米哈伊洛維奇·陀思妥耶夫斯基,12146,1,15,0.0
12284,西敏寺,12284,1,23,0.0
12297,简·奥斯汀,12297,3,10,2941.4020183063667
12398,哈勃空间望远镜,12398,3,12,7826.0
12479,上校,12479,31,12,35276.73178088899
12588,黄任中,12588,2,7,1512.5918739322115
12730,开封市,12730,9,6,18642.036498354235
12772,理查德·布蘭森,12772,4,1,925.2172656816164
13062,白内障,13062,2,14,2918.5841352476755
13116,申根区,13116,2,6,1979.1309137693488
13451,粵劇,13451,16,3,77569.2735550498
13520,班超,13520,2,18,1232.7838109803245
13581,氰化物,13581,3,14,4992.893071063992
13585,少林寺,13585,11,3,28985.489696623063
14213,世界史年表_(公元前),14213,6,18,24824.38652143974
14975,伊丽莎白·泰勒,14975,23,4,140880.59886451755
15467,麻原彰晃,15467,8,14,37160.69586763976
15516,米洛的维纳斯,15516,2,4,3914.0
15587,军舰,15587,35,12,33017.73771606546
15776,张志新,15776,6,6,4532.677070739385
15787,刘若英,15787,15,7,92703.85751102337
16303,四行仓库保卫战,16303,10,14,17352.560016001044
16880,亞弗列·希治閣,16880,6,4,15911.99667357539
17019,肥胖症,17019,6,9,43351.15428314619
17171,不平等条约,17171,4,14,5189.259429002178
17470,孙坚,17470,7,18,29272.292975616074
17489,都铎王朝,17489,3,8,5204.8580975091445
17657,马克思列宁主义,17657,11,6,10846.911637702331
17919,海伦娜·博纳姆·卡特,17919,19,4,30272.81186980099
18218,奥迪,18218,4,7,3071.8052363203487
18251,中华人民共和国司法部,18251,23,6,38982.69718475452
18253,中华人民共和国公安部,18253,39,6,133178.0323480321
18331,符号,18331,3,1,4392.301124518937
18413,三一九槍擊事件,18413,2,0,88.4761574047168
18615,指南针,18615,1,12,0.0
18679,纳米比亚,18679,20,5,90483.65306908939
18682,上座部佛教,18682,9,3,24046.467245899905
19189,梁國雄,19189,33,13,33358.62418438979
19329,李-恩菲爾德步槍,19329,8,5,44895.05343580982
19380,紧急状态,19380,4,5,11921.965161798771
19676,方励之,19676,6,6,11011.950384488862
19687,李柱銘,19687,25,13,21187.830139462043
19766,永乐大典,19766,2,3,513.0003711682964
19922,中国人民志愿军,19922,24,14,14068.938017460778
19929,朝鲜劳动党,19929,60,14,26020.73701708453
19957,神农,19957,3,2,9512.528774604214
20609,格奥尔基·康斯坦丁诺维奇·朱可夫,20609,4,11,1472.3495535666752
20900,李大钊,20900,4,6,8286.158311657458
21011,阿托品,21011,4,5,5249.7101022877605
21013,华南理工大学,21013,4,18,9342.828081495003
21052,台灣海峽,21052,11,6,35811.021038083476
21282,第十二夜,21282,5,4,21261.246444736218
21294,美國在台協會,21294,5,6,2817.4460357032353
21435,小泉纯一郎,21435,8,14,17476.718943682168
21471,北非谍影,21471,8,4,49989.35359679929
21823,西亚,21823,5,5,18670.54583009937
21867,竹林七贤,21867,2,18,2286.834401134211
21917,石达开,21917,1,9,0.0
22280,俾斯麦级战列舰,22280,11,12,1621.4764655667534
22294,尼罗河,22294,5,5,9561.13534713153
22309,黄忠,22309,6,18,19027.299914488536
22349,五虎将,22349,1,18,0.0
22402,神道,22402,11,14,56839.689211378936
22437,巴塞罗那,22437,7,16,13772.038764434667
22447,瑪格麗特二世_(丹麥),22447,2,5,0.0
22793,流星雨,22793,4,16,8820.047745995034
22852,能量,22852,6,9,21268.713486827342
23053,天琴座,23053,3,16,1349.462239565618
23128,南海诸岛,23128,12,16,14715.428235738851
23207,王实味,23207,1,6,0.0
23245,李肇星,23245,2,6,407.1287711757863
23367,奥丁,23367,3,23,0.0
23550,秀兰·邓波儿,23550,1,4,0.0
23678,鲁班,23678,3,18,3369.487813734785
23761,达卡,23761,3,1,6745.762727697001
23832,史蒂芬·沃爾夫勒姆,23832,1,5,0.0
23870,大汶口文化,23870,5,18,899.389151384212
24151,唐昭陵,24151,2,18,1303.4917599083803
24546,大卫·芬奇,24546,8,4,10322.2885577522
24611,热带雨林,24611,1,1,0.0
24871,商鞅变法,24871,4,18,2143.5213799358753
25061,龙山文化,25061,5,18,899.389151384212
25065,黃金週_(中國),25065,1,7,0.0
25075,干草市场事件,25075,3,3,8022.1776102686845
25277,中國時報,25277,28,10,208445.22619215955
25286,江南,25286,9,1,36779.64935706028
25616,徐有庠,25616,2,20,0.0
25618,元智大學,25618,12,20,12847.411950369402
