,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class
0,20.0,22.0,历史,0.348655104637146,Q309,History_and_Society.History,22.0,185952.62167048766,20.0
1,20.0,22.0,历史,0.33459946513175964,Q309,Culture.Philosophy_and_religion,22.0,185952.62167048766,20.0
2,20.0,22.0,历史,0.287777841091156,Q309,History_and_Society.Society,22.0,185952.62167048766,20.0
3,20.0,22.0,历史,0.23371636867523193,Q309,STEM.STEM*,22.0,185952.62167048766,20.0
4,20.0,22.0,历史,0.22816647589206696,Q309,History_and_Society.Politics_and_government,22.0,185952.62167048766,20.0
5,14.0,45.0,戏剧,0.16027602553367615,Q25372,History_and_Society.Society,45.0,115438.88548909432,7.0
6,14.0,45.0,戏剧,0.13297423720359802,Q25372,STEM.STEM*,45.0,115438.88548909432,7.0
7,14.0,45.0,戏剧,0.1097157895565033,Q25372,Culture.Performing_arts,45.0,115438.88548909432,7.0
8,17.0,67.0,物理学,0.8080772161483765,Q413,STEM.STEM*,67.0,87167.2988703381,5.0
9,17.0,67.0,物理学,0.33459946513175964,Q413,STEM.Physics,67.0,87167.2988703381,5.0
10,17.0,67.0,物理学,0.275139719247818,Q413,History_and_Society.Society,67.0,87167.2988703381,5.0
11,17.0,67.0,物理学,0.2509227991104126,Q413,Culture.Philosophy_and_religion,67.0,87167.2988703381,5.0
12,17.0,67.0,物理学,0.15611489117145538,Q413,STEM.Technology,67.0,87167.2988703381,5.0
13,17.0,67.0,物理学,0.10088862478733063,Q413,STEM.Biology,67.0,87167.2988703381,5.0
14,2.0,161.0,生命,0.9697954058647156,Q3,STEM.STEM*,161.0,954.3346927866153,5.0
15,2.0,161.0,生命,0.9324633479118347,Q3,STEM.Biology,161.0,954.3346927866153,5.0
16,2.0,161.0,生命,0.320831298828125,Q3,History_and_Society.Society,161.0,954.3346927866153,5.0
17,2.0,161.0,生命,0.1968362182378769,Q3,STEM.Earth_and_environment,161.0,954.3346927866153,5.0
18,3.0,622.0,加拿大行政区划,0.39526139402389526,Q2879,Geography.Regions.Americas.North_America,622.0,370.3313272896688,5.0
19,3.0,622.0,加拿大行政区划,0.18714269995689392,Q2879,History_and_Society.Politics_and_government,622.0,370.3313272896688,5.0
20,3.0,622.0,加拿大行政区划,0.0,Q2879,Geography.Regions.Europe.Europe*,622.0,370.3313272896688,5.0
21,3.0,622.0,加拿大行政区划,0.0,Q2879,Geography.Geographical,622.0,370.3313272896688,5.0
22,2.0,658.0,GNU通用公共许可证,0.9871888160705566,Q7603,STEM.Computing,658.0,3914.0,7.0
23,2.0,658.0,GNU通用公共许可证,0.9724247455596924,Q7603,STEM.STEM*,658.0,3914.0,7.0
24,2.0,658.0,GNU通用公共许可证,0.15611489117145538,Q7603,History_and_Society.Politics_and_government,658.0,3914.0,7.0
25,2.0,658.0,GNU通用公共许可证,0.14034625887870789,Q7603,Culture.Media.Media*,658.0,3914.0,7.0
26,2.0,658.0,GNU通用公共许可证,0.11921291798353195,Q7603,Culture.Media.Software,658.0,3914.0,7.0
27,12.0,824.0,昆明市,0.9579222798347473,Q182852,Geography.Regions.Asia.Asia*,824.0,50304.658622545736,3.0
28,12.0,824.0,昆明市,0.8311530351638794,Q182852,Geography.Regions.Asia.East_Asia,824.0,50304.658622545736,3.0
29,12.0,824.0,昆明市,0.46102678775787354,Q182852,Geography.Geographical,824.0,50304.658622545736,3.0
30,8.0,861.0,彝族,0.6001983880996704,Q461282,History_and_Society.Society,861.0,64154.09169043675,3.0
31,8.0,861.0,彝族,0.44235758686065674,Q461282,Geography.Regions.Asia.Asia*,861.0,64154.09169043675,3.0
32,8.0,861.0,彝族,0.14415885508060455,Q461282,History_and_Society.History,861.0,64154.09169043675,3.0
33,8.0,861.0,彝族,0.0,Q461282,Geography.Regions.Asia.Southeast_Asia,861.0,64154.09169043675,3.0
34,8.0,861.0,彝族,0.0,Q461282,Geography.Regions.Asia.East_Asia,861.0,64154.09169043675,3.0
35,5.0,1062.0,汽油,0.9802908897399902,Q39558,STEM.STEM*,1062.0,6792.333742066226,5.0
36,5.0,1062.0,汽油,0.6224693655967712,Q39558,STEM.Technology,1062.0,6792.333742066226,5.0
37,5.0,1062.0,汽油,0.6001983880996704,Q39558,STEM.Chemistry,1062.0,6792.333742066226,5.0
38,5.0,1062.0,汽油,0.4301573634147644,Q39558,STEM.Engineering,1062.0,6792.333742066226,5.0
39,5.0,1062.0,汽油,0.320831298828125,Q39558,STEM.Earth_and_environment,1062.0,6792.333742066226,5.0
40,5.0,1062.0,汽油,0.21207880973815918,Q39558,History_and_Society.Society,1062.0,6792.333742066226,5.0
41,1.0,1134.0,吴起,0.9740526676177979,Q698899,Culture.Biography.Biography*,1134.0,0.0,19.0
42,1.0,1134.0,吴起,0.5775054097175598,Q698899,Culture.Philosophy_and_religion,1134.0,0.0,19.0
43,1.0,1134.0,吴起,0.4515841474533081,Q698899,Geography.Regions.Asia.East_Asia,1134.0,0.0,19.0
44,1.0,1134.0,吴起,0.4352950325012207,Q698899,Geography.Regions.Asia.Asia*,1134.0,0.0,19.0
45,5.0,1137.0,孙膑,0.9219318628311157,Q334090,Culture.Biography.Biography*,1137.0,5587.71652059734,18.0
46,5.0,1137.0,孙膑,0.585111141204834,Q334090,Culture.Philosophy_and_religion,1137.0,5587.71652059734,18.0
47,5.0,1137.0,孙膑,0.4139109721183777,Q334090,Geography.Regions.Asia.East_Asia,1137.0,5587.71652059734,18.0
48,5.0,1137.0,孙膑,0.379807101726532,Q334090,Geography.Regions.Asia.Asia*,1137.0,5587.71652059734,18.0
49,5.0,1137.0,孙膑,0.11597072333097458,Q334090,Culture.Literature,1137.0,5587.71652059734,18.0
50,4.0,1160.0,李靖,0.996837317943573,Q706792,Culture.Biography.Biography*,1160.0,5799.162498971154,18.0
51,4.0,1160.0,李靖,0.49804024600982666,Q706792,Geography.Regions.Asia.East_Asia,1160.0,5799.162498971154,18.0
52,4.0,1160.0,李靖,0.49668686294555664,Q706792,Geography.Regions.Asia.Asia*,1160.0,5799.162498971154,18.0
53,9.0,1279.0,全国重点文物保护单位,0.523430347442627,Q1188574,STEM.STEM*,1279.0,24590.65969614503,18.0
54,9.0,1279.0,全国重点文物保护单位,0.2047950496673584,Q1188574,Geography.Regions.Asia.East_Asia,1279.0,24590.65969614503,18.0
55,9.0,1279.0,全国重点文物保护单位,0.13297423720359802,Q1188574,STEM.Technology,1279.0,24590.65969614503,18.0
56,9.0,1279.0,全国重点文物保护单位,0.0,Q1188574,Geography.Regions.Asia.Asia*,1279.0,24590.65969614503,18.0
57,12.0,1380.0,1960年,0.6150978803634644,Q3754,History_and_Society.History,1380.0,90449.50456859828,12.0
58,12.0,1380.0,1960年,0.26285186409950256,Q3754,Culture.Media.Media*,1380.0,90449.50456859828,12.0
59,12.0,1380.0,1960年,0.11921291798353195,Q3754,STEM.STEM*,1380.0,90449.50456859828,12.0
60,12.0,1380.0,1960年,0.0,Q3754,Geography.Regions.Europe.Western_Europe,1380.0,90449.50456859828,12.0
61,12.0,1380.0,1960年,0.0,Q3754,Geography.Regions.Europe.Europe*,1380.0,90449.50456859828,12.0
62,23.0,1747.0,西德,0.9879562258720398,Q713750,Geography.Regions.Europe.Western_Europe,1747.0,182410.37178406728,3.0
63,23.0,1747.0,西德,0.983095109462738,Q713750,Geography.Regions.Europe.Europe*,1747.0,182410.37178406728,3.0
64,23.0,1747.0,西德,0.3140605390071869,Q713750,Geography.Geographical,1747.0,182410.37178406728,3.0
65,23.0,1747.0,西德,0.23935934901237488,Q713750,History_and_Society.History,1747.0,182410.37178406728,3.0
66,12.0,2089.0,著作權,0.523430347442627,Q1297822,History_and_Society.Politics_and_government,2089.0,51180.74385112454,7.0
67,12.0,2089.0,著作權,0.3702353835105896,Q1297822,STEM.STEM*,2089.0,51180.74385112454,7.0
68,12.0,2089.0,著作權,0.16452647745609283,Q1297822,History_and_Society.Business_and_economics,2089.0,51180.74385112454,7.0
69,75.0,2660.0,金正日,0.9939124584197998,Q10665,Culture.Biography.Biography*,2660.0,59961.91509069697,14.0
70,75.0,2660.0,金正日,0.44553956389427185,Q10665,Culture.Biography.Women,2660.0,59961.91509069697,14.0
71,75.0,2660.0,金正日,0.3660457601547241,Q10665,Geography.Regions.Asia.Asia*,2660.0,59961.91509069697,14.0
72,75.0,2660.0,金正日,0.3415925204753876,Q10665,History_and_Society.Politics_and_government,2660.0,59961.91509069697,14.0
73,75.0,2660.0,金正日,0.3165845146179199,Q10665,Geography.Regions.Asia.East_Asia,2660.0,59961.91509069697,14.0
74,75.0,2660.0,金正日,0.287777841091156,Q10665,History_and_Society.Military_and_warfare,2660.0,59961.91509069697,14.0
75,75.0,2660.0,金正日,0.1732981950044632,Q10665,History_and_Society.History,2660.0,59961.91509069697,14.0
76,75.0,2660.0,金正日,0.14034625887870789,Q10665,History_and_Society.Society,2660.0,59961.91509069697,14.0
77,75.0,2660.0,金正日,0.0,Q10665,Geography.Regions.Europe.Europe*,2660.0,59961.91509069697,14.0
78,20.0,3177.0,歌劇魅影 (音樂劇),0.998977780342102,Q382353,Culture.Performing_arts,3177.0,24166.035327901245,8.0
79,20.0,3177.0,歌劇魅影 (音樂劇),0.8706072568893433,Q382353,Culture.Media.Media*,3177.0,24166.035327901245,8.0
80,20.0,3177.0,歌劇魅影 (音樂劇),0.8311530351638794,Q382353,Culture.Media.Music,3177.0,24166.035327901245,8.0
81,20.0,3177.0,歌劇魅影 (音樂劇),0.0,Q382353,Geography.Regions.Europe.Europe*,3177.0,24166.035327901245,8.0
82,29.0,3506.0,二名法,0.9019306898117065,Q36642,STEM.STEM*,3506.0,105416.12693312073,9.0
83,29.0,3506.0,二名法,0.8962613940238953,Q36642,STEM.Biology,3506.0,105416.12693312073,9.0
84,5.0,3581.0,吴邦国,0.9942797422409058,Q360563,Culture.Biography.Biography*,3581.0,8534.144876261806,6.0
85,5.0,3581.0,吴邦国,0.32119916582107544,Q360563,Geography.Regions.Asia.East_Asia,3581.0,8534.144876261806,6.0
86,5.0,3581.0,吴邦国,0.2653036584854126,Q360563,Geography.Regions.Asia.Asia*,3581.0,8534.144876261806,6.0
87,5.0,3581.0,吴邦国,0.11597072333097458,Q360563,History_and_Society.Politics_and_government,3581.0,8534.144876261806,6.0
88,2.0,3593.0,托斯卡,0.9659096002578735,Q192941,Culture.Performing_arts,3593.0,0.0,8.0
89,2.0,3593.0,托斯卡,0.9241518378257751,Q192941,Culture.Media.Media*,3593.0,0.0,8.0
90,2.0,3593.0,托斯卡,0.91965252161026,Q192941,Culture.Media.Music,3593.0,0.0,8.0
91,2.0,3593.0,托斯卡,0.0,Q192941,Geography.Regions.Europe.Europe*,3593.0,0.0,8.0
92,8.0,4042.0,戰國策,0.9942797422409058,Q197396,Culture.Literature,4042.0,37849.98930779396,18.0
93,8.0,4042.0,戰國策,0.9679093360900879,Q197396,Culture.Media.Books,4042.0,37849.98930779396,18.0
94,8.0,4042.0,戰國策,0.8774868249893188,Q197396,Culture.Media.Media*,4042.0,37849.98930779396,18.0
95,8.0,4042.0,戰國策,0.39526139402389526,Q197396,Geography.Regions.Asia.East_Asia,4042.0,37849.98930779396,18.0
96,8.0,4042.0,戰國策,0.3344935646057129,Q197396,Geography.Regions.Asia.Asia*,4042.0,37849.98930779396,18.0
97,2.0,4054.0,蔡明亮,1.0000100135803223,Q698710,Culture.Biography.Biography*,4054.0,0.0,3.0
98,2.0,4054.0,蔡明亮,0.7186043858528137,Q698710,History_and_Society.Society,4054.0,0.0,3.0
99,2.0,4054.0,蔡明亮,0.3165845146179199,Q698710,Geography.Regions.Asia.Asia*,4054.0,0.0,3.0
100,2.0,4054.0,蔡明亮,0.06118653917312622,Q698710,Geography.Regions.Asia.East_Asia,4054.0,0.0,3.0
101,8.0,4099.0,藏族,0.7371681928634644,Q187985,History_and_Society.Society,4099.0,23195.576267396656,3.0
102,8.0,4099.0,藏族,0.22388027811050415,Q187985,Geography.Regions.Europe.Europe*,4099.0,23195.576267396656,3.0
103,8.0,4099.0,藏族,0.18714269995689392,Q187985,STEM.STEM*,4099.0,23195.576267396656,3.0
104,8.0,4099.0,藏族,0.16886694729328156,Q187985,History_and_Society.History,4099.0,23195.576267396656,3.0
105,8.0,4099.0,藏族,0.14034625887870789,Q187985,Culture.Philosophy_and_religion,4099.0,23195.576267396656,3.0
106,8.0,4099.0,藏族,0.10088862478733063,Q187985,STEM.Biology,4099.0,23195.576267396656,3.0
107,8.0,4099.0,藏族,0.04574816131591797,Q187985,Geography.Regions.Europe.Northern_Europe,4099.0,23195.576267396656,3.0
108,8.0,4099.0,藏族,0.037993239402770995,Q187985,Geography.Regions.Asia.Asia*,4099.0,23195.576267396656,3.0
109,8.0,4099.0,藏族,0.0,Q187985,Geography.Regions.Asia.Central_Asia,4099.0,23195.576267396656,3.0
110,8.0,4099.0,藏族,0.0,Q187985,Geography.Regions.Europe.Southern_Europe,4099.0,23195.576267396656,3.0
111,8.0,4099.0,藏族,0.0,Q187985,Geography.Geographical,4099.0,23195.576267396656,3.0
112,8.0,4099.0,藏族,0.0,Q187985,Geography.Regions.Europe.Eastern_Europe,4099.0,23195.576267396656,3.0
113,8.0,4099.0,藏族,0.0,Q187985,Geography.Regions.Asia.West_Asia,4099.0,23195.576267396656,3.0
114,8.0,4099.0,藏族,0.0,Q187985,Geography.Regions.Europe.Western_Europe,4099.0,23195.576267396656,3.0
115,8.0,4099.0,藏族,0.0,Q187985,Geography.Regions.Asia.East_Asia,4099.0,23195.576267396656,3.0
116,8.0,4099.0,藏族,0.0,Q187985,Geography.Regions.Africa.Africa*,4099.0,23195.576267396656,3.0
117,8.0,4252.0,巴哈伊信仰,0.9748311638832092,Q22679,Culture.Philosophy_and_religion,4252.0,13539.427657760434,5.0
118,8.0,4252.0,巴哈伊信仰,0.15611489117145538,Q22679,History_and_Society.Society,4252.0,13539.427657760434,5.0
119,22.0,4316.0,港元,0.3893042674064636,Q31015,Geography.Regions.Asia.Asia*,4316.0,78557.11566322281,13.0
120,22.0,4316.0,港元,0.3344935646057129,Q31015,Geography.Regions.Asia.East_Asia,4316.0,78557.11566322281,13.0
121,6.0,4425.0,西安交通大学,0.9626831412315369,Q981237,History_and_Society.Education,4425.0,10781.885576296685,20.0
122,6.0,4425.0,西安交通大学,0.9219318628311157,Q981237,Geography.Regions.Asia.East_Asia,4425.0,10781.885576296685,20.0
123,6.0,4425.0,西安交通大学,0.8991314172744751,Q981237,Geography.Regions.Asia.Asia*,4425.0,10781.885576296685,20.0
124,28.0,4499.0,陈毅,0.9916942119598389,Q188408,Culture.Biography.Biography*,4499.0,114219.06445442,6.0
125,28.0,4499.0,陈毅,0.5698626637458801,Q188408,History_and_Society.Military_and_warfare,4499.0,114219.06445442,6.0
126,28.0,4499.0,陈毅,0.43892334604263306,Q188408,Geography.Regions.Asia.Asia*,4499.0,114219.06445442,6.0
127,28.0,4499.0,陈毅,0.4139109721183777,Q188408,Geography.Regions.Asia.East_Asia,4499.0,114219.06445442,6.0
128,28.0,4499.0,陈毅,0.1520422399044037,Q188408,History_and_Society.Politics_and_government,4499.0,114219.06445442,6.0
129,3.0,4638.0,抗原,0.9763205647468567,Q103537,STEM.STEM*,4638.0,4697.175251612935,9.0
130,3.0,4638.0,抗原,0.5312193632125854,Q103537,STEM.Biology,4638.0,4697.175251612935,9.0
131,3.0,4638.0,抗原,0.33459946513175964,Q103537,STEM.Medicine_&_Health,4638.0,4697.175251612935,9.0
132,3.0,4638.0,抗原,0.1732981950044632,Q103537,STEM.Chemistry,4638.0,4697.175251612935,9.0
