Id,Label,modularity_class,Cluster,Degree,clustering
55232472,2019_CFL_season,19,0,15,0.285714
3946242,Eimuntas_Nekro?ius,6,5,1,0
8161118,Bobby_Carpenter_(American_football),19,0,3,0.333333
51544610,Florence_Kasumba,2,4,5,1
692976,Beorhtwulf_of_Mercia,27,14,13,0.910256
50514830,Tammy_Abraham,15,3,1,0
14590846,List_of_active_Ukrainian_Navy_ships,15,3,12,0.469697
38834392,ARA_San_Juan_(S-42),26,8,19,0.157895
57089040,American_Soul,2,4,2,0
2648856,Jane_Eyre_(1943_film),6,5,2,0
11977166,Ilyushin_Il-112,3,2,1,0
53748336,Jonnu_Smith,19,0,3,0.666667
332134,Bill_Fagerbakke,28,2,12,1
10444102,Science_and_technology_of_the_Song_dynasty,1,7,6,0.133333
20034776,Tray_Blackmon,19,0,1,0
14501954,Are_You_Experienced?_(song),23,7,12,0.893939
2383372,Rita_Johnson,6,5,1,0
201112,Mario_Bunge,30,6,2,1
5729648,Nicolas_Mahut,20,4,8,0.321429
1226632,Tina_Hobley,1,1,1,0
36894194,Tr?z?guet_(Egyptian_footballer),11,1,9,0.194444
3882218,Programming_language_theory,17,3,4,0.666667
16172170,Connie_Talbot,23,7,6,0.4
1352224,United_States_circuit_court,3,2,1,0
36682390,Bobak_Ferdowsi,17,3,1,0
2804704,Gone_with_the_Wind_(film),4,4,12,0.090909
16491946,Chen_Chi-mai,18,20,7,0.285714
55089196,Feleipe_Franks,19,0,3,0
909006,1900_(film),23,7,20,0.657895
2888384,Henry_Daniell,6,5,2,0
1833654,Diverging_diamond_interchange,10,2,5,0.3
54088,Harry_Palmer,6,5,2,1
11659694,List_of_the_oldest_living_people,15,3,2,0
28323576,Ben_Purkiss,11,1,7,0.52381
7034,Cruiser,24,3,19,0.169591
37601302,Whitehouse_High_School,11,1,1,0
1669640,England_national_football_team_records_and_statistics,11,1,8,0.178571
44316528,Michigan_IMG_Sports_Network,19,0,4,0.333333
2569570,Turf_Moor,0,1,4,0
16706134,Salish_Wool_Dog,4,4,3,0.333333
4173540,Friday_on_My_Mind,1,11,3,1
15548838,Primal_Scream_discography,1,1,2,1
43659046,Florent_Hadergjonaj,0,1,6,0.733333
57863442,2018?19_IIHF_Continental_Cup,11,1,2,1
547482,Andamanese_languages,5,9,16,0.583333
3500262,"Paul_Robinson_(footballer,_born_December_1978)",11,1,3,0.333333
8548856,Shawna_Waldron,19,0,1,0
50375864,Trevor_Davis,19,0,6,1
49422336,Cha_Jun-hwan,15,3,1,0
36881830,Aleksander_?eferin,11,1,1,0
6673634,Ranjit_Chowdhry,16,8,2,1
2580516,KTVA,8,16,1,0
2473406,Tony_Warner,11,1,1,0
22567388,Sebastian_Vollmer,19,0,1,0
950216,Grisha-class_corvette,15,3,13,0.371795
217750,The_Whisperers,3,22,1,0
65504,John_Poindexter,3,2,4,0.5
27261798,Chris_Skidmore,1,2,2,0
32481016,International_Business_Times,3,2,17,0.022059
1060880,Cha_Bum-kun,11,1,2,0
426670,USS_Tang_(SS-306),26,8,1,0
49398052,Yukultji_Napangati,5,9,4,1
26020338,Jean_Muir_(actress),6,5,3,0
10602046,List_of_Atlanta_Falcons_starting_quarterbacks,19,0,3,0.333333
2950170,Race_and_appearance_of_Jesus,15,3,1,0
27397178,History_of_rugby_union_matches_between_Munster_and_New_Zealand,12,1,9,0.194444
20713710,John_Carter_(Texas_politician),17,15,7,0.666667
2819206,David_Edelstein,28,2,3,0
8827552,Kevin_Wilson_(American_football),19,0,4,0.333333
2701420,Nafisa_Ali,16,8,2,0
1342636,South_Andaman_Island,5,9,20,0.547368
4762820,WGN_Morning_News,6,5,1,0
177496,"Albert_Grey,_4th_Earl_Grey",19,0,7,0.761905
48584276,Juliana_Awada,15,3,2,0
1450118,Esma_Cannon,11,23,1,0
58025318,2018_Alamo_Bowl,19,0,10,0.6
1071538,The_Return_of_the_Archons,28,2,1,0
60280,Margaret_Atwood,3,2,3,0
13495618,Bengals?Browns_rivalry,19,0,7,0.333333
49429724,Srirastu_Subhamastu,6,13,1,0
3382014,Elizabeth_May,21,2,2,0
45146256,Innate_resistance_to_HIV,1,7,5,0.6
91052,Taiwan_Strait,24,3,1,0
2147572,Kendall_Gill,6,5,2,1
6537930,Berners_Street_hoax,15,3,2,0
57112196,Jessica_Jones_(season_3),25,4,2,1
6311052,United_States_Davis_Cup_team,20,4,7,1
57881144,Chad_Kanoff,19,0,1,0
1750,Andaman_Islands,5,9,37,0.282282
685328,Sports_league,11,1,4,0.833333
4681476,Ambarisha,6,13,2,1
37858030,Anthony_Lopes,15,3,1,0
1607446,Jane_Skinner,16,8,1,0
55362964,Abdul_Latif_Jameel,21,2,1,0
25070018,Southern_Gas_Corridor,15,3,1,0
37310642,Andrew_Nabbout,11,1,11,0.909091
339562,Camera_lucida,11,1,2,1
518436,The_Scotsman,1,1,18,0.006536
58603502,Ivanhorod_Einsatzgruppen_photograph,15,3,7,0.52381
8576918,Blood_and_Sand_(1941_film),6,5,1,0
