,Id,Label,modularity_class,Cluster,Degree,clustering,Qid
0,55232472,2019 CFL season,19,0,15,0.28571399999999997,Q60526029
1,3946242,Eimuntas Nekrošius,6,5,1,0.0,Q2525451
2,8161118,Bobby Carpenter (American football),19,0,3,0.333333,Q4845743
3,51544610,Florence Kasumba,2,4,5,1.0,Q1429374
4,692976,Beorhtwulf of Mercia,27,14,13,0.910256,Q818588
5,50514830,Tammy Abraham,15,3,1,0.0,Q24050378
6,14590846,List of active Ukrainian Navy ships,15,3,12,0.46969700000000003,Q3206285
7,38834392,ARA San Juan (S-42),26,8,19,0.157895,Q5653859
8,57089040,American Soul,2,4,2,0.0,Q55080214
9,2648856,Jane Eyre (1943 film),6,5,2,0.0,Q1217369
10,11977166,Ilyushin Il-112,3,2,1,0.0,Q1982240
11,53748336,Jonnu Smith,19,0,3,0.666667,Q29453129
12,332134,Bill Fagerbakke,28,2,12,1.0,Q591238
13,10444102,Science and technology of the Song dynasty,1,7,6,0.13333299999999998,Q427777
14,20034776,Tray Blackmon,19,0,1,0.0,Q7836479
15,14501954,Are You Experienced? (song),23,7,12,0.8939389999999999,Q2860770
16,2383372,Rita Johnson,6,5,1,0.0,Q1703957
17,201112,Mario Bunge,30,6,2,1.0,Q708853
18,5729648,Nicolas Mahut,20,4,8,0.321429,Q317974
19,1226632,Tina Hobley,1,1,1,0.0,Q4555364
20,36894194,Trézéguet (Egyptian footballer),11,1,9,0.194444,Q6734350
21,3882218,Programming language theory,17,3,4,0.666667,Q2670534
22,16172170,Connie Talbot,23,7,6,0.4,Q230470
23,1352224,United States circuit court,3,2,1,0.0,Q7892368
24,36682390,Bobak Ferdowsi,17,3,1,0.0,Q4595122
25,2804704,Gone with the Wind (film),4,4,12,0.090909,Q2875
26,16491946,Chen Chi-mai,18,20,7,0.28571399999999997,Q5090717
27,55089196,Feleipe Franks,19,0,3,0.0,Q38204090
28,909006,1900 (film),23,7,20,0.657895,Q124697
29,2888384,Henry Daniell,6,5,2,0.0,Q1369906
30,1833654,Diverging diamond interchange,10,2,5,0.3,Q13586568
31,54088,Harry Palmer,6,5,2,1.0,Q1749168
32,11659694,List of the oldest living people,15,3,2,0.0,Q2078878
33,28323576,Ben Purkiss,11,1,7,0.52381,Q4886315
34,7034,Cruiser,24,3,19,0.16959100000000002,Q104843
35,37601302,Whitehouse High School,11,1,1,0.0,Q17065069
36,1669640,England national football team records and statistics,11,1,8,0.178571,Q5378035
37,44316528,Michigan IMG Sports Network,19,0,4,0.333333,Q18763620
38,2569570,Turf Moor,0,1,4,0.0,Q683112
39,16706134,Salish Wool Dog,4,4,3,0.333333,Q7404847
40,4173540,Friday on My Mind,1,11,3,1.0,Q919655
41,15548838,Primal Scream discography,1,1,2,1.0,Q7243046
42,43659046,Florent Hadergjonaj,0,1,6,0.733333,Q17612369
43,57863442,2018–19 IIHF Continental Cup,11,1,2,1.0,Q55435557
44,547482,Andamanese languages,5,9,16,0.583333,Q32940
45,3500262,"Paul Robinson (footballer, born December 1978)",11,1,3,0.333333,Q725397
46,8548856,Shawna Waldron,19,0,1,0.0,Q454818
47,50375864,Trevor Davis,19,0,6,1.0,Q24765462
48,49422336,Cha Jun-hwan,15,3,1,0.0,Q21825093
49,36881830,Aleksander Čeferin,11,1,1,0.0,Q26819142
50,6673634,Ranjit Chowdhry,16,8,2,1.0,Q7293154
51,2580516,KTVA,8,16,1,0.0,Q6339252
52,2473406,Tony Warner,11,1,1,0.0,Q1085237
53,22567388,Sebastian Vollmer,19,0,1,0.0,Q124879
54,950216,Grisha-class corvette,15,3,13,0.371795,Q761869
55,217750,The Whisperers,3,22,1,0.0,Q1134147
56,65504,John Poindexter,3,2,4,0.5,Q348163
57,27261798,Chris Skidmore,1,2,2,0.0,Q391526
58,32481016,International Business Times,3,2,17,0.022059,Q6510653
59,1060880,Cha Bum-kun,11,1,2,0.0,Q346751
60,426670,USS Tang (SS-306),26,8,1,0.0,Q3544060
61,49398052,Yukultji Napangati,5,9,4,1.0,Q12860172
62,26020338,Jean Muir (actress),6,5,3,0.0,Q541069
63,10602046,List of Atlanta Falcons starting quarterbacks,19,0,3,0.333333,Q15628924
64,2950170,Race and appearance of Jesus,15,3,1,0.0,Q7278932
65,27397178,History of rugby union matches between Munster and New Zealand,12,1,9,0.194444,Q5868738
66,20713710,John Carter (Texas politician),17,15,7,0.666667,Q369814
67,2819206,David Edelstein,28,2,3,0.0,Q5233259
68,8827552,Kevin Wilson (American football),19,0,4,0.333333,Q6397297
69,2701420,Nafisa Ali,16,8,2,0.0,Q3595559
70,1342636,South Andaman Island,5,9,20,0.5473680000000001,Q1473243
71,4762820,WGN Morning News,6,5,1,0.0,Q7949872
72,177496,"Albert Grey, 4th Earl Grey",19,0,7,0.761905,Q333336
73,48584276,Juliana Awada,15,3,2,0.0,Q20645466
74,1450118,Esma Cannon,11,23,1,0.0,Q5398368
75,58025318,2018 Alamo Bowl,19,0,10,0.6,Q56062874
76,1071538,The Return of the Archons,28,2,1,0.0,Q3487430
77,60280,Margaret Atwood,3,2,3,0.0,Q183492
78,13495618,Bengals–Browns rivalry,19,0,7,0.333333,Q4887705
79,49429724,Srirastu Subhamastu,6,13,1,0.0,Q23013815
80,3382014,Elizabeth May,21,2,2,0.0,Q445620
81,45146256,Innate resistance to HIV,1,7,5,0.6,Q19760783
82,91052,Taiwan Strait,24,3,1,0.0,Q127031
83,2147572,Kendall Gill,6,5,2,1.0,Q1424397
84,6537930,Berners Street hoax,15,3,2,0.0,Q4894124
85,57112196,Jessica Jones (season 3),25,4,2,1.0,Q55322357
86,6311052,United States Davis Cup team,20,4,7,1.0,Q1389353
87,57881144,Chad Kanoff,19,0,1,0.0,Q55584468
88,1750,Andaman Islands,5,9,37,0.28228200000000003,Q186233
89,685328,Sports league,11,1,4,0.833333,Q623109
90,4681476,Ambarisha,6,13,2,1.0,Q2564371
91,37858030,Anthony Lopes,15,3,1,0.0,Q1392235
92,1607446,Jane Skinner,16,8,1,0.0,Q6152775
93,55362964,Abdul Latif Jameel,21,2,1,0.0,Q12239138
94,25070018,Southern Gas Corridor,15,3,1,0.0,Q7569944
95,37310642,Andrew Nabbout,11,1,11,0.909091,Q24237
96,339562,Camera lucida,11,1,2,1.0,Q740662
97,518436,The Scotsman,1,1,18,0.006536,Q1049657
98,58603502,Ivanhorod Einsatzgruppen photograph,15,3,7,0.52381,Q55424114
99,8576918,Blood and Sand (1941 film),6,5,1,0.0,Q1795987
100,38802918,Georgi Plekhanov,30,6,4,0.166667,Q182905
101,1874546,Arizona Stadium,19,0,11,0.2,Q947065
102,5013082,Snowed Under,6,5,5,0.1,Q19363842
103,88678,The Lion King,2,4,42,0.204413,Q36479
104,26522464,Pat Walshe,4,4,2,0.0,Q3897558
105,17256340,Jilava massacre,15,3,3,1.0,Q2070808
106,4081870,Oakville Assembly,21,2,2,0.0,Q2476473
107,39145444,Partner (1968 film),23,7,16,0.908333,Q751846
108,3713668,Second City derby,0,1,4,0.166667,Q2566213
109,10652530,2004 Cleveland Browns season,19,0,3,0.666667,Q4602640
110,1904584,Anthony Grant,9,12,2,0.0,Q4772615
111,1973680,Audenshaw Reservoirs,14,9,5,1.0,Q4819684
112,1244968,First contact (anthropology),5,9,1,0.0,Q2090195
113,510764,Einsatzgruppen,15,3,9,0.333333,Q152543
114,1444470,Jill Talley,28,2,11,1.0,Q1769264
115,42545064,Olavina Udugore,6,13,4,0.5,Q15717047
116,35623176,Memphis Depay,11,1,7,0.14285699999999998,Q1894
117,37784254,United Nations General Assembly resolution 67/19,10,10,4,0.0,Q213030
118,2130238,Jermaine Jones,0,1,2,0.0,Q280829
119,1963198,Seletar Airport,15,3,1,0.0,Q1432865
120,41337476,The Jump,1,1,2,0.0,Q16995516
121,94834,"DeSoto County, Mississippi",3,2,18,0.75817,Q339724
122,46227806,Henry Anderson (American football),19,0,2,1.0,Q19757481
123,14663020,List_of_Middle-earth_animals,15,3,4,0.5,-1
124,50528,"Dutchess County, New York",10,10,12,0.454545,Q115148
125,3584478,His Kind of Woman,4,4,3,0.0,Q934021
126,9534924,Sarah Hanson-Young,29,6,5,0.4,Q2224379
127,38462066,Lood de Jager,12,1,11,0.781818,Q6674905
128,37799684,Corbett Monica,16,8,1,0.0,Q5169738
129,59172384,We Appreciate Power,1,11,7,0.52381,Q59779835
130,5211984,Daniel Prodan,11,1,1,0.0,Q265055
131,3256268,"Social Democratic Party (UK, 1990–present)",1,2,3,0.333333,Q7550572
132,20891120,Bill Leonard (journalist),16,8,1,0.0,Q4909894
133,7606574,Shi Jingtang,1,7,6,0.533333,Q1189495
134,328406,"Delta, British Columbia",21,2,1,0.0,Q851838
135,32321390,Mike Posner discography,20,4,3,0.666667,Q6848426
136,4105584,Bill Musgrave,19,0,4,0.166667,Q2904669
137,54441288,German football rivalries,11,1,1,0.0,Q39086235
138,4602548,Kim Jones (reporter),3,2,1,0.0,Q6408931
139,38541516,2019 Africa Cup of Nations,11,1,28,0.27513200000000004,Q11831154
140,12470766,Jorge Villafaña,11,1,6,0.266667,Q978126
141,59015042,Hyundai Palisade,3,2,1,0.0,Q55735991
142,18305118,Immigration sign,3,2,1,0.0,Q6005127
143,585176,Herb Sendek,9,12,2,1.0,Q5733187
144,31751830,Rajendra Singh Babu,6,13,7,0.6190479999999999,Q7286024
145,50375396,Dean Lowry,19,0,7,0.761905,Q24053586
146,8325928,Terry Beasley,19,0,2,1.0,Q7704100
147,59151664,Junior Eurovision Song Contest 2019,13,3,20,0.8052630000000001,Q59191075
148,1901762,Mel White,28,2,1,0.0,Q1680811
149,3119836,Nordseewerke,26,8,5,1.0,Q560947
150,1889380,J.B. (play),3,2,1,0.0,Q6103910
151,31537920,The Emperor of All Maladies,3,2,1,0.0,Q4202130
152,14978984,Stephanie Gilmore,12,1,4,0.333333,Q435974
153,106418,Computational physics,17,3,9,0.388889,Q909554
154,27665478,No Place for Jennifer,6,5,1,0.0,Q7044786
155,4387450,Johnston Press,11,1,2,0.0,Q6268659
156,38686320,George Saville,11,1,2,1.0,Q5870838
157,2652372,Ben Thatcher,11,1,2,0.0,Q816620
158,22351888,Irina Bokova,15,3,1,0.0,Q230850
159,13716430,Ian Robertson (rugby commentator),12,1,2,0.0,Q5982758
160,2555800,Aura (paranormal),15,3,2,1.0,Q1154226
161,57681472,Emily Jane Fox,3,2,1,0.0,Q54999205
162,42628682,2016 Copa Libertadores,20,4,3,0.333333,Q16822229
