modularity_class,Main_Topics,Higher_Degree_Article
0,Sports (0.35) / Europe* (0.25) / Northern_Europe (0.18) ,Michael Parkhurst (14)
1,Europe* (0.15) / Northern_Europe (0.13) / Media* (0.1) ,2017 United Kingdom general election (21)
2,Media* (0.2) / North_America (0.1) / Europe* (0.09) ,The Lion King (42)
3,North_America (0.22) / Politics_and_government (0.11) / Media* (0.09) ,2016 United States presidential election (48)
4,Media* (0.18) / North_America (0.16) / Films (0.08) ,The X-Files (20)
5,Asia* (0.14) / Europe* (0.08) / South_Asia (0.08) ,Andaman Islands (37)
6,Media* (0.19) / North_America (0.16) / Films (0.13) ,Ambareesh (32)
7,STEM* (0.19) / Space (0.1) / Asia* (0.06) ,Arecibo message (16)
8,North_America (0.2) / STEM* (0.1) / Politics_and_government (0.08) ,"Seward, Alaska (8)"
9,Sports (0.44) / North_America (0.4) / Education (0.07) ,2019 NBA draft (15)
10,Asia* (0.19) / South_Asia (0.15) / North_America (0.1) ,New York State Route 308 (13)
11,Sports (0.24) / Europe* (0.18) / Northern_Europe (0.09) ,Association football (148)
12,Sports (0.36) / Europe* (0.2) / Northern_Europe (0.18) ,List of Ireland national rugby union players (27)
13,Media* (0.2) / Europe* (0.18) / Television (0.17) ,Roksana Węgiel (30)
14,Europe* (0.22) / Northern_Europe (0.21) / Geographical (0.11) ,Greater Manchester (20)
15,Europe* (0.16) / Sports (0.09) / Asia* (0.07) ,Ukraine (153)
16,North_America (0.2) / Media* (0.1) / Asia* (0.08) ,"Providence, Rhode Island (14)"
17,STEM* (0.15) / Technology (0.09) / Space (0.08) ,Mars Express (36)
18,Asia* (0.26) / East_Asia (0.22) / Society (0.22) ,Su Tseng-chang (14)
19,North_America (0.33) / Sports (0.32) / Media* (0.04) ,Coaches Poll (63)
20,Sports (0.26) / North_America (0.11) / Europe* (0.09) ,Tokyo (33)
21,North_America (0.26) / Sports (0.15) / STEM* (0.08) ,List of General Motors factories (21)
22,Sports (0.46) / North_America (0.33) / Europe* (0.08) ,Joel Bolomboy (3)
23,Media* (0.19) / Europe* (0.14) / Films (0.09) ,Bernardo Bertolucci (33)
24,Military_and_warfare (0.16) / North_America (0.1) / Asia* (0.09) ,Cruiser (19)
25,Literature (0.13) / Media* (0.12) / Comics_and_Anime (0.12) ,Neon Genesis Evangelion (9)
26,Transportation (0.11) / Military_and_warfare (0.11) / STEM* (0.08) ,ARA San Juan (S-42) (19)
27,Europe* (0.21) / Northern_Europe (0.19) / History (0.15) ,List of monarchs of Mercia (19)
28,Media* (0.18) / North_America (0.17) / Television (0.1) ,SpongeBob SquarePants (37)
29,Oceania (0.41) / Politics_and_government (0.17) / Media* (0.05) ,Liberal Party of Australia (Victorian Division) (31)
30,Society (0.14) / Europe* (0.11) / Philosophy_and_religion (0.1) ,Seymour Martin Lipset (20)
31,Sports (0.31) / North_America (0.31) / Europe* (0.07) ,Edmonton Oilers (9)
