,Unnamed: 0,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db,cluster,degree
0,0,Q60526029,Culture.Sports,0.7248802781105042,55232472,2019 CFL season,19,enwiki,0,15.0
1,1,Q2525451,Culture.Biography.Biography*,0.99219411611557,3946242,Eimuntas Nekrošius,6,enwiki,5,1.0
2,2,Q2525451,Geography.Regions.Europe.Europe*,0.4773946871757507,3946242,Eimuntas Nekrošius,6,enwiki,5,1.0
3,3,Q2525451,Geography.Regions.Europe.Northern_Europe,0.4767238368988037,3946242,Eimuntas Nekrošius,6,enwiki,5,1.0
4,4,Q4845743,Culture.Biography.Biography*,0.997894287109375,8161118,Bobby Carpenter,19,enwiki,0,3.0
5,5,Q4845743,Culture.Sports,0.997120440006256,8161118,Bobby Carpenter,19,enwiki,0,3.0
6,6,Q4845743,Geography.Regions.Americas.North_America,0.006821857929229736,8161118,Bobby Carpenter,19,enwiki,0,3.0
7,7,Q1429374,Culture.Biography.Biography*,0.9976133108139038,51544610,Florence Kasumba,2,enwiki,4,5.0
8,8,Q1429374,Culture.Biography.Women,0.8311530351638794,51544610,Florence Kasumba,2,enwiki,4,5.0
9,9,Q818588,Culture.Biography.Biography*,0.9980832934379578,692976,Beorhtwulf of Mercia,27,enwiki,14,13.0
10,10,Q818588,History_and_Society.History,0.9496793746948242,692976,Beorhtwulf of Mercia,27,enwiki,14,13.0
11,11,Q818588,Geography.Regions.Europe.Europe*,0.16442059183120727,692976,Beorhtwulf of Mercia,27,enwiki,14,13.0
12,12,Q818588,Geography.Regions.Europe.Northern_Europe,0.12146936559677125,692976,Beorhtwulf of Mercia,27,enwiki,14,13.0
13,13,Q24050378,Culture.Biography.Biography*,0.9942797422409058,50514830,Tammy Abraham,15,enwiki,3,1.0
14,14,Q24050378,Culture.Sports,0.9893575310707092,50514830,Tammy Abraham,15,enwiki,3,1.0
15,15,Q24050378,Geography.Regions.Europe.Europe*,0.0991983880996704,50514830,Tammy Abraham,15,enwiki,3,1.0
16,16,Q24050378,Geography.Regions.Europe.Northern_Europe,0.053480433464050285,50514830,Tammy Abraham,15,enwiki,3,1.0
17,17,Q3206285,Compilation.List_Disambig,1.0,14590846,list of ships of the Ukrainian Navy,15,enwiki,3,12.0
18,18,Q3206285,History_and_Society.Military_and_warfare,0.994098961353302,14590846,list of ships of the Ukrainian Navy,15,enwiki,3,12.0
19,19,Q3206285,History_and_Society.Transportation,0.9659096002578736,14590846,list of ships of the Ukrainian Navy,15,enwiki,3,12.0
20,20,Q3206285,Geography.Regions.Europe.Europe*,0.04574816131591797,14590846,list of ships of the Ukrainian Navy,15,enwiki,3,12.0
21,21,Q5653859,History_and_Society.Transportation,0.9980832934379578,38834392,ARA San Juan,26,enwiki,8,19.0
22,22,Q5653859,History_and_Society.Military_and_warfare,0.9362950325012208,38834392,ARA San Juan,26,enwiki,8,19.0
23,23,Q55080214,Culture.Media.Television,0.9796776771545409,57089040,American Soul,2,enwiki,4,2.0
24,24,Q55080214,Culture.Media.Media*,0.9724247455596924,57089040,American Soul,2,enwiki,4,2.0
25,25,Q1217369,Culture.Media.Media*,0.9919480085372924,2648856,Jane Eyre,6,enwiki,5,2.0
26,26,Q1217369,Culture.Media.Films,0.9871888160705566,2648856,Jane Eyre,6,enwiki,5,2.0
27,27,Q1982240,History_and_Society.Transportation,1.0000100135803225,11977166,Ilyushin Il-112,3,enwiki,2,1.0
28,28,Q1982240,STEM.STEM*,1.0000100135803225,11977166,Ilyushin Il-112,3,enwiki,2,1.0
29,29,Q1982240,STEM.Engineering,1.0000100135803225,11977166,Ilyushin Il-112,3,enwiki,2,1.0
30,30,Q1982240,History_and_Society.Society,0.99219411611557,11977166,Ilyushin Il-112,3,enwiki,2,1.0
31,31,Q1982240,History_and_Society.Military_and_warfare,0.9324633479118348,11977166,Ilyushin Il-112,3,enwiki,2,1.0
32,32,Q29453129,Culture.Biography.Biography*,0.99593985080719,53748336,Jonnu Smith,19,enwiki,0,3.0
33,33,Q29453129,Culture.Sports,0.91965252161026,53748336,Jonnu Smith,19,enwiki,0,3.0
34,34,Q591238,Culture.Biography.Biography*,0.9993003606796264,332134,Bill Fagerbakke,28,enwiki,2,12.0
35,35,Q427777,STEM.STEM*,0.8354935646057129,10444102,Science and technology of the Song dynasty,1,enwiki,7,6.0
36,36,Q427777,History_and_Society.History,0.538993239402771,10444102,Science and technology of the Song dynasty,1,enwiki,7,6.0
37,37,Q427777,Geography.Regions.Asia.East_Asia,0.12146936559677125,10444102,Science and technology of the Song dynasty,1,enwiki,7,6.0
38,38,Q427777,Geography.Regions.Asia.Asia*,0.006821857929229736,10444102,Science and technology of the Song dynasty,1,enwiki,7,6.0
